age,rs_surviving
23,2
26,2
25,0
37,5
21,0
28,2
20,1
18,0
19,0
18,0
39,7
25,3
19,0
40,10
30,4
19,0
38,4
30,1
19,0
61,4
75,6
25,2
30,0
20,0
25,3
56,6
18,0
61,6
18,0
35,7
32,6
25,2
21,0
18,1
36,5
29,3
20,0
75,2
26,2
18,0
18,0
19,0
59,5
30,3
31,1
26,3
31,4
33,5
70,7
52,5
35,7
67,7
25,0
75,0
18,0
18,0
64,3
20,1
25,3
22,2
26,3
30,3
21,0
18,0
30,5
40,4
19,0
40,0
76,4
40,5
42,3
25,1
25,4
20,2
29,2
18,0
27,4
40,1
30,3
30,2
18,0
25,0
80,11
20,0
38,0
48,9
38,7
38,5
38,3
29,1
45,7
40,5
40,5
28,7
32,1
38,6
42,5
23,0
65,8
50,7
30,1
38,6
35,2
19,0
75,7
57,5
22,0
29,6
31,2
90,3
36,6
30,3
35,1
35,0
38,1
30,3
20,0
19,0
55,4
18,0
33,4
40,8
62,7
41,3
65,5
20,0
18,0
60,7
22,0
18,0
45,5
18,0
51,1
52,8
35,6
20,0
40,4
22,1
25,2
25,0
35,0
80,7
40,5
80,4
50,1
26,1
30,0
40,7
56,8
53,7
38,5
35,6
45,8
30,1
45,2
60,9
27,2
29,1
50,6
28,1
86,4
19,0
30,3
22,0
70,6
25,0
25,0
20,0
22,1
49,4
35,8
60,5
55,6
35,6
25,0
19,0
19,0
45,1
40,7
20,0
35,5
20,0
47,4
28,1
30,1
30,3
43,6
20,1
30,3
65,7
36,7
65,5
50,2
40,3
30,5
45,7
52,6
63,4
79,5
30,1
70,7
24,0
24,0
36,6
32,2
35,5
20,0
35,4
50,6
48,7
25,2
50,2
30,2
45,8
78,8
20,0
44,6
35,5
21,0
22,0
21,1
30,4
19,0
47,6
24,0
28,0
23,1
25,1
19,0
25,1
26,3
20,0
24,1
35,5
25,1
35,3
35,4
60,1
35,7
50,5
60,7
53,6
37,8
28,2
29,2
40,6
30,1
60,6
38,6
45,6
19,0
32,5
30,3
36,1
25,2
26,0
30,3
18,0
28,3
26,0
22,1
25,0
23,1
26,2
