age,rs_surviving
22,0
45,11
40,8
28,1
62,6
20,0
70,6
22,0
20,0
60,7
19,0
18,0
25,0
40,2
65,4
30,5
35,4
46,6
18,0
30,0
20,3
80,2
18,0
45,2
42,4
32,2
37,7
50,6
38,5
76,5
32,3
18,0
18,0
25,0
28,2
45,7
38,6
30,4
70,4
42,5
33,5
40,8
60,6
24,1
57,8
33,1
56,10
68,9
43,6
18,0
50,9
27,2
35,4
18,0
45,11
18,0
29,4
40,3
50,4
22,4
25,2
28,6
25,4
20,0
32,4
38,2
35,2
19,0
22,0
30,1
18,0
30,3
50,4
70,7
21,1
20,0
30,3
52,6
40,5
24,0
33,4
28,2
36,4
30,2
58,7
35,0
54,6
18,0
40,8
42,5
25,0
32,4
67,2
19,0
32,0
35,5
25,0
20,0
40,2
30,2
35,4
60,8
57,6
45,4
37,2
90,8
75,9
28,0
70,4
27,3
19,0
35,2
28,1
30,4
27,3
30,2
34,4
51,8
35,6
40,3
55,3
74,5
85,4
29,0
35,3
31,1
58,10
60,3
30,3
25,1
32,5
29,2
22,0
55,4
50,6
40,6
38,1
43,4
48,8
65,4
40,1
24,0
22,1
30,2
25,2
60,1
30,2
45,5
40,3
35,2
51,3
75,6
52,6
30,1
33,0
24,0
20,0
30,3
40,0
25,1
40,4
55,9
25,0
24,1
32,4
25,0
25,0
23,1
43,6
45,9
35,3
60,5
59,3
25,1
30,0
26,0
32,2
32,4
20,0
60,3
20,0
20,0
27,0
20,0
80,6
40,5
21,0
50,1
30,0
55,1
30,2
34,3
35,0
28,1
45,5
23,1
25,1
40,6
27,1
20,0
60,8
35,1
53,6
48,9
19,0
42,5
19,0
32,5
55,0
35,5
25,0
24,1
25,0
60,3
42,3
19,0
55,3
20,0
22,0
58,2
30,3
20,0
26,2
