rs,age
0,15
0,15
0,15
0,15
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,18
0,18
1,18
0,18
0,18
0,18
1,18
0,18
1,19
0,19
0,19
1,19
1,19
1,19
1,19
0,19
0,20
1,20
1,20
1,20
2,20
1,21
0,21
1,21
0,21
2,21
3,21
0,21
2,21
2,21
2,22
2,22
1,22
1,22
2,22
2,22
0,22
2,23
0,23
0,23
1,23
2,23
2,23
0,23
0,23
0,24
2,24
0,24
2,24
3,24
3,24
0,24
0,24
2,24
3,24
3,25
0,25
0,25
2,25
0,25
4,25
2,25
3,25
0,26
0,26
0,26
2,26
3,26
1,26
0,27
1,27
3,27
4,27
1,27
3,27
3,27
5,27
5,27
7,27
2,27
2,27
3,27
3,27
8,27
0,27
2,27
2,27
3,27
4,27
0,27
3,28
5,28
7,28
4,28
2,28
4,28
5,28
2,29
2,29
4,29
5,29
4,30
7,30
1,30
3,30
4,30
7,30
7,30
6,30
2,30
0,31
4,31
6,31
4,31
4,31
3,32
0,32
1,32
3,32
6,32
0,32
0,32
9,32
5,33
2,33
1,33
4,33
4,33
4,33
6,33
13,33
4,34
6,34
4,34
8,34
4,34
6,34
7,34
11,34
3,35
6,35
7,36
10,36
5,36
5,36
9,36
8,37
2,37
5,37
7,37
6,37
7,38
8,38
6,38
8,38
7,39
8,39
0,39
8,39
10,39
0,39
6,39
7,39
2,40
10,40
16,40
8,40
11,40
4,40
8,41
9,41
8,41
6,41
8,42
11,42
11,42
13,42
12,43
9,43
8,43
13,43
9,43
9,43
13,43
5,43
10,44
11,44
3,44
7,44
7,44
11,44
9,44
12,44
2,45
2,45
5,45
6,46
7,46
14,46
9,47
10,47
12,47
10,47
8,47
10,47
13,47
3,47
15,47
6,48
7,48
13,48
7,49
14,49
7,49
9,49
9,49
4,49
2,49
15,50
8,51
9,51
12,51
6,52
12,52
5,52
8,53
5,53
8,54
10,54
10,54
12,54
10,54
10,54
11,54
11,56
9,57
10,57
9,58
4,59
0,60
9,60
11,61
1,62
6,62
9,62
0,64
12,65
7,65
8,65
10,66
6,67
7,69
6,69
7,69
7,70
8,70
15,72
12,77
6,77
15,78
8,78
10,79
11,79
13,80
14,82
10,82
8,83
6,84
12,85
13,96
