rs,age
0,18
0,18
0,18
0,19
0,19
0,19
0,19
1,19
0,19
0,19
0,20
0,20
0,20
0,20
0,21
0,21
1,21
0,21
0,21
0,21
1,21
0,21
1,21
1,22
0,22
0,22
1,22
0,22
1,22
0,22
4,22
0,22
0,22
1,23
1,23
0,23
0,23
0,23
2,24
1,24
0,24
1,24
2,25
1,25
0,25
1,25
1,26
1,26
0,26
1,26
2,27
3,28
1,29
3,29
1,29
0,30
1,31
2,31
1,31
0,32
1,33
3,34
2,34
4,35
0,35
5,35
0,35
4,35
0,35
4,36
1,36
8,36
3,37
2,37
0,37
2,39
0,39
2,39
0,40
3,40
5,41
6,42
3,43
5,43
4,44
2,44
3,45
1,46
0,46
4,47
3,47
3,48
6,48
1,48
3,48
9,49
4,50
3,52
1,52
9,53
7,53
8,53
3,53
1,54
0,54
2,55
0,55
5,56
7,56
6,57
0,58
9,58
5,58
5,58
4,60
3,60
4,60
3,60
4,61
3,61
8,62
6,62
5,63
3,65
0,65
9,65
5,68
4,68
2,69
4,70
6,71
9,76
9,77
