rs,age
1,18
1,20
1,20
2,22
1,23
2,23
0,25
0,27
0,30
0,31
2,33
1,34
0,34
1,35
4,35
0,35
8,36
2,37
4,41
1,41
0,41
0,42
0,42
0,45
2,46
9,46
1,47
0,47
9,47
5,48
5,48
3,48
3,48
0,50
0,50
0,51
0,52
0,52
3,53
1,53
0,54
8,54
6,55
0,55
0,55
3,55
0,56
0,57
8,57
2,58
0,59
5,59
1,60
4,60
3,60
7,61
1,61
0,61
0,62
7,62
0,63
2,63
1,64
7,65
2,65
1,66
5,66
6,66
0,66
0,67
1,67
1,68
6,69
3,69
2,69
0,69
5,69
2,70
1,71
5,71
0,72
0,72
2,73
2,73
2,73
0,73
0,73
1,74
1,75
0,76
0,77
0,82
12,84
5,86
