rs,age
7,49
0,21
6,49
0,14
6,46
6,44
0,23
0,15
0,12
5,46
0,24
7,37
0,16
0,14
8,58
0,23
0,20
0,23
4,47
0,21
0,19
0,14
4,48
0,14
7,56
0,22
1,32
2,31
2,28
0,23
0,17
0,16
0,14
2,35
0,25
0,23
0,15
1,30
8,52
0,25
0,21
0,17
0,12
4,47
0,19
4,48
0,27
6,38
0,18
0,16
0,13
6,59
0,22
0,27
0,18
2,30
0,24
8,51
0,18
0,16
1,48
6,60
0,51
3,26
1,47
0,16
2,39
6,48
0,15
1,38
0,13
0,27
3,42
7,61
1,30
0,18
0,12
7,38
0,12
3,30
2,31
8,59
0,14
0,18
5,43
3,46
0,19
7,51
0,31
0,27
0,22
6,47
0,25
0,22
6,33
0,14
0,12
5,43
0,18
6,55
0,30
0,20
0,17
2,33
5,67
0,21
3,32
6,37
0,14
2,50
0,22
4,50
0,15
4,70
4,49
0,17
0,15
0,13
3,39
6,43
2,30
3,44
0,18
0,12
2,31
5,54
0,22
0,21
1,26
0,26
0,25
0,19
0,21
0,17
0,24
