age,rs
51,8
33,0
29,4
36,6
48,0
56,0
18,0
43,3
30,6
51,0
44,5
31,0
30,3
19,0
27,1
21,0
64,4
49,6
32,3
61,12
19,0
22,0
40,0
39,11
72,5
19,0
75,13
19,0
43,9
16,0
45,0
28,1
21,2
26,3
36,2
30,2
23,2
27,3
23,1
24,1
20,3
40,5
19,0
61,3
37,7
28,3
58,6
26,0
27,1
19,0
18,0
20,0
40,10
22,1
45,7
20,1
60,2
69,6
62,5
37,3
47,7
43,9
50,6
43,5
21,0
28,4
22,1
25,3
71,6
46,12
46,9
26,1
53,8
24,3
50,9
27,2
27,2
27,1
51,6
67,1
20,0
45,7
21,1
53,14
54,5
35,8
45,3
43,4
22,2
27,2
18,0
19,1
46,5
60,0
27,4
29,3
58,6
72,2
56,2
60,9
43,5
27,0
28,1
22,1
32,5
36,5
57,4
33,3
40,4
33,8
54,0
57,1
33,4
60,10
27,2
42,7
65,3
38,5
26,2
24,3
34,4
68,7
26,3
47,10
39,3
51,8
18,0
51,7
57,2
70,2
33,5
45,8
69,10
40,11
67,1
27,2
25,1
45,15
46,6
27,2
37,2
43,4
49,3
48,2
23,3
30,2
60,4
20,2
39,9
42,6
16,0
45,12
19,1
29,3
67,4
29,4
50,15
66,8
53,5
43,9
44,7
42,8
56,6
33,2
44,4
39,5
68,8
46,6
26,4
39,3
34,10
18,1
60,9
25,1
59,4
34,4
60,5
26,5
28,5
25,3
55,3
50,3
42,8
42,6
33,0
32,6
35,3
52,10
28,3
30,7
23,3
20,1
59,4
75,9
42,8
70,5
54,4
43,9
22,1
55,5
38,7
45,7
18,1
58,5
48,4
36,4
23,2
22,2
37,5
31,5
40,7
35,11
35,2
40,9
19,1
23,2
29,5
18,1
19,1
66,9
52,8
22,1
21,0
35,6
31,10
62,6
29,5
39,2
32,3
26,2
30,3
25,3
50,21
56,12
26,2
42,8
45,4
29,1
54,11
24,2
17,0
18,0
60,8
66,6
41,2
61,5
58,5
68,6
48,6
24,1
28,2
47,8
50,5
36,8
36,5
35,6
25,1
41,8
78,6
60,7
59,5
32,6
33,3
69,11
76,2
44,10
52,7
21,1
31,5
29,2
70,6
41,15
28,2
20,2
64,7
57,11
39,10
23,2
30,4
54,7
50,4
33,4
25,4
31,4
34,5
64,6
40,6
61,9
49,7
21,1
44,10
30,5
31,3
31,4
36,6
25,5
60,6
28,3
31,1
32,3
26,5
35,3
31,3
39,4
26,5
36,7
35,7
71,3
42,6
33,5
70,1
42,5
27,2
59,11
30,5
42,3
29,3
24,3
22,0
42,8
38,2
72,8
29,3
61,10
26,1
30,3
29,4
48,11
47,8
25,2
40,8
24,1
53,4
39,9
51,9
35,6
50,4
52,9
42,10
39,1
36,6
58,9
21,1
63,4
33,6
80,2
53,4
28,4
35,4
37,8
22,0
32,6
59,6
58,3
36,6
63,5
43,6
39,1
59,5
27,3
40,7
56,3
23,2
45,6
67,6
24,2
53,9
24,1
71,10
27,4
45,8
24,3
34,4
21,0
57,6
22,4
47,10
32,0
26,0
40,7
24,2
31,5
26,3
19,1
21,2
31,2
56,11
26,4
21,1
48,8
43,7
45,10
22,2
24,3
33,5
25,4
50,10
52,6
31,4
27,3
40,4
31,5
38,5
35,5
36,1
41,6
29,3
20,0
39,7
37,8
26,2
39,9
52,4
60,9
41,9
35,6
37,5
20,1
25,0
23,0
47,11
22,3
45,7
60,6
55,8
42,8
26,5
62,2
64,4
71,3
42,6
64,6
48,10
61,6
45,3
55,14
44,6
59,5
29,3
37,8
53,3
56,10
30,1
22,3
23,1
40,10
46,9
40,7
36,2
37,2
25,2
30,2
40,7
29,1
37,3
39,8
20,0
38,3
27,2
24,2
37,5
50,6
31,3
39,7
18,0
40,6
20,0
24,3
18,0
34,4
52,11
30,3
48,8
44,9
37,4
33,5
59,9
39,4
24,2
61,10
37,7
54,9
36,5
41,2
27,3
21,2
32,5
46,10
20,1
44,9
24,5
30,4
40,7
20,2
42,7
28,2
26,1
37,9
37,4
39,5
28,5
27,1
41,6
22,1
37,5
41,6
41,3
36,1
18,0
18,0
17,0
17,0
21,0
22,0
42,3
20,0
67,10
55,10
43,10
53,7
53,3
60,5
46,8
42,6
37,6
40,6
39,4
66,5
84,10
63,7
64,7
51,3
46,11
48,8
41,4
36,4
38,3
36,6
56,9
48,7
37,5
53,6
39,6
39,5
56,9
41,9
46,14
68,9
55,3
60,6
42,8
48,8
59,2
49,5
49,9
44,5
67,6
60,8
56,7
39,7
61,5
50,2
50,12
40,8
45,6
55,11
61,10
47,7
42,10
45,6
52,4
42,3
67,8
62,7
41,8
46,10
45,9
62,11
50,6
57,4
67,8
40,9
42,7
40,2
38,7
48,10
50,8
63,13
51,9
44,7
51,12
39,4
50,7
40,5
48,5
43,2
50,2
38,5
44,8
40,9
48,8
38,5
52,8
44,4
49,7
42,10
42,6
54,5
50,6
46,11
58,10
45,11
41,8
48,10
42,4
56,5
50,3
47,8
48,3
46,8
40,7
42,4
45,5
42,6
41,2
38,4
38,2
45,11
75,7
49,9
39,6
41,7
46,6
47,4
38,5
39,7
38,4
42,6
45,6
43,6
45,8
45,8
40,6
43,7
50,9
45,5
57,4
33,4
59,3
40,7
62,7
40,9
44,4
49,4
52,4
53,9
44,10
47,10
36,3
40,6
40,9
42,7
63,5
38,7
41,5
38,6
42,2
49,8
44,5
40,5
65,5
75,3
44,5
55,7
45,3
68,11
55,5
51,4
50,4
45,6
56,13
41,6
22,0
40,3
40,0
36,1
50,3
46,1
38,2
54,0
17,0
58,8
70,2
39,1
67,3
57,9
66,11
62,10
77,4
64,9
79,10
55,8
37,0
43,0
41,1
46,3
42,0
66,8
42,0
58,4
43,0
21,0
23,0
42,0
16,0
21,0
79,1
29,0
69,0
19,0
35,0
70,0
52,0
28,0
61,0
37,0
42,0
36,0
48,0
66,1
71,0
20,0
63,0
18,0
20,0
41,0
32,0
44,0
42,0
62,0
24,0
25,0
25,0
18,0
81,0
26,0
42,0
24,0
41,0
64,3
47,0
80,0
50,5
60,7
68,6
54,0
56,2
71,0
60,8
56,5
49,0
39,0
79,0
67,5
56,3
57,3
77,5
76,4
64,3
59,5
44,0
59,3
51,5
44,4
45,3
74,8
82,5
66,4
41,2
43,7
78,4
59,4
59,2
61,4
49,0
61,6
53,5
65,6
61,6
45,0
80,2
70,10
69,5
74,2
52,5
42,5
66,8
46,0
47,4
65,0
61,1
67,2
64,4
46,1
51,2
63,5
52,6
53,1
66,4
47,2
60,3
35,0
72,4
43,1
44,3
69,9
47,0
50,0
47,1
47,0
64,2
62,4
66,0
66,1
62,0
59,3
72,2
44,2
47,0
46,3
58,1
57,9
46,0
35,0
50,1
40,0
16,0
20,0
42,4
73,7
44,4
35,6
40,8
38,5
48,9
21,2
61,10
46,4
49,6
37,9
56,5
37,5
36,5
19,1
58,9
50,7
42,5
53,6
50,3
37,5
61,5
53,8
47,4
43,9
49,10
62,0
43,0
48,4
41,5
49,4
46,3
43,7
46,8
52,6
42,5
26,3
46,5
42,10
49,4
82,4
39,0
20,0
43,8
26,3
62,1
40,4
56,17
53,8
35,2
55,3
47,1
42,4
35,10
52,9
51,8
43,6
44,8
41,4
39,0
58,1
56,4
54,11
42,8
45,9
41,7
39,7
33,2
44,8
58,9
45,9
62,0
48,14
48,0
