age,rs
25,1
26,0
26,6
26,0
27,1
27,2
27,2
27,5
27,1
27,2
28,5
28,1
28,1
28,2
28,5
28,0
28,1
28,3
28,2
28,0
28,0
28,0
28,1
28,0
29,1
29,4
29,2
29,0
29,0
29,2
29,1
30,4
30,1
30,3
30,2
30,1
30,0
30,1
30,2
31,3
31,1
31,1
31,1
31,2
31,1
32,1
32,1
32,8
32,5
32,0
32,1
32,0
32,1
32,0
32,0
32,0
32,0
33,1
33,0
33,2
33,1
33,3
33,4
33,2
33,1
33,2
33,0
33,0
33,0
34,7
34,0
34,1
34,3
34,2
34,0
34,1
35,12
35,4
35,0
35,1
35,0
36,13
36,1
36,1
36,5
36,10
36,3
36,1
36,4
36,10
36,3
36,1
36,1
36,0
36,0
36,1
37,2
37,1
37,3
37,0
37,1
38,2
38,1
38,1
38,0
38,1
38,2
38,3
38,1
38,4
38,0
38,1
38,0
38,0
38,1
39,1
39,4
39,0
39,1
39,4
39,2
39,2
39,2
39,4
39,6
39,2
39,0
40,2
40,0
40,3
40,0
40,0
40,5
40,1
40,4
40,3
40,0
40,1
40,0
41,1
41,6
41,8
41,1
41,0
41,3
41,1
41,2
41,0
41,0
41,3
41,7
41,7
41,0
41,3
41,0
41,0
42,2
42,1
42,1
42,7
42,0
42,9
42,6
42,13
42,6
42,1
42,0
42,0
42,0
42,0
42,0
42,0
43,8
43,0
43,1
43,0
43,1
43,11
43,4
43,10
43,1
43,6
43,1
43,1
43,11
43,5
43,0
43,0
43,1
43,0
43,0
44,1
44,3
44,2
44,5
44,4
44,0
44,9
44,1
44,2
44,1
44,3
44,11
44,1
44,0
44,1
44,0
44,6
44,0
44,1
45,1
45,2
45,0
45,2
45,3
45,7
45,1
45,2
45,1
45,3
45,1
45,16
45,0
45,3
45,2
45,0
46,2
46,3
46,1
46,1
46,7
46,0
46,2
46,0
46,6
46,1
46,2
46,5
46,8
46,1
46,1
46,0
46,1
46,1
47,2
47,13
47,8
47,6
47,6
47,6
47,1
47,3
47,1
47,3
47,0
47,8
47,13
47,0
47,12
47,0
47,0
48,3
48,17
48,2
48,4
48,3
48,7
48,1
48,5
48,13
48,0
48,0
48,2
48,0
48,0
48,0
48,0
49,1
49,9
49,11
49,1
49,1
49,1
49,12
49,1
49,3
49,8
49,2
49,3
49,0
49,2
49,0
49,1
49,0
49,2
49,0
49,1
49,0
49,0
49,1
49,0
49,0
49,0
50,7
50,0
50,3
50,4
50,2
50,6
50,0
50,2
50,1
50,7
50,14
50,0
50,9
50,0
50,0
50,0
50,1
50,0
50,0
50,0
51,1
51,9
51,1
51,0
51,2
51,1
51,3
51,10
51,1
51,2
51,3
51,12
51,1
51,0
51,3
51,7
51,7
51,0
51,1
52,1
52,3
52,8
52,5
52,3
52,0
52,2
52,0
52,3
52,13
52,5
52,1
52,14
52,1
52,8
52,3
52,0
52,6
52,1
52,1
52,10
52,2
52,0
52,0
52,0
53,3
53,14
53,11
53,2
53,2
53,12
53,6
53,3
53,1
53,5
53,11
53,6
53,0
53,1
53,2
53,5
53,11
53,0
53,15
53,0
53,5
54,1
54,4
54,2
54,4
54,1
54,3
54,1
54,1
54,5
54,5
54,1
54,0
54,2
54,4
54,0
54,1
54,0
54,6
54,0
54,0
54,15
54,13
54,3
54,1
54,0
54,0
54,1
54,0
54,1
55,1
55,13
55,7
55,2
55,1
55,14
55,4
55,1
55,2
55,7
55,1
55,3
55,1
55,0
55,22
55,3
55,3
55,3
55,1
55,0
55,7
55,0
55,0
55,1
55,0
55,0
55,0
55,1
55,0
55,0
55,0
55,0
55,0
56,1
56,14
56,9
56,6
56,3
56,12
56,1
56,12
56,8
56,4
56,0
56,2
56,1
56,1
56,2
56,9
56,3
56,0
56,0
56,0
57,17
57,2
57,12
57,2
57,1
57,1
57,5
57,0
57,8
57,1
57,16
