rs,age
1,17
1,17
1,17
0,18
1,19
0,20
2,20
2,20
1,20
1,20
0,20
3,21
1,21
1,21
1,21
1,22
2,22
0,22
0,22
2,22
0,22
0,22
0,22
1,22
2,22
0,22
0,22
1,23
1,23
1,23
0,23
1,23
0,23
4,23
2,23
1,23
4,23
0,23
0,23
2,23
2,23
2,23
1,23
1,23
2,24
0,24
0,24
1,24
0,24
0,24
1,24
2,24
2,24
2,24
0,24
3,25
2,25
0,25
2,25
1,25
0,25
3,25
4,25
3,25
2,25
3,26
1,26
5,26
2,26
0,26
1,26
0,26
0,26
3,26
2,26
0,27
3,27
1,27
1,27
0,27
1,27
0,27
0,27
1,27
4,27
1,27
0,27
0,27
2,27
1,28
5,28
4,28
0,28
5,28
2,28
3,28
3,28
5,28
4,28
3,29
2,29
0,29
3,29
0,29
1,29
1,29
1,29
0,29
1,29
0,29
0,29
0,29
4,29
0,29
0,29
1,30
5,30
2,30
0,30
1,30
2,30
0,30
4,30
0,30
2,30
0,30
3,30
4,30
2,31
4,31
5,31
1,31
0,31
3,31
3,31
2,31
8,32
0,32
2,32
1,32
2,32
3,32
3,32
3,32
3,32
0,32
0,32
7,32
6,32
0,32
5,32
4,32
0,33
4,33
0,33
0,33
2,33
1,33
7,33
0,33
5,33
0,33
0,33
7,34
1,34
6,34
5,34
0,34
0,34
2,34
6,34
2,34
4,34
0,34
5,34
1,34
0,34
4,34
0,34
5,34
0,34
7,35
0,35
3,35
3,35
0,35
0,35
2,35
0,35
0,35
2,35
6,35
0,35
2,35
0,36
12,36
0,36
3,36
6,36
0,36
7,36
4,36
4,36
6,36
8,36
0,36
5,36
1,36
3,36
6,37
4,37
5,37
2,37
0,37
1,37
1,37
0,37
2,38
9,38
5,38
1,38
4,38
1,38
4,38
3,39
5,39
3,39
9,39
5,39
4,39
0,40
6,40
0,40
8,40
0,40
4,40
3,40
0,40
1,40
4,40
1,40
8,40
3,40
8,40
5,40
4,40
3,40
0,40
0,40
5,40
0,40
4,40
0,40
0,40
0,40
4,41
5,41
0,41
0,41
11,41
6,41
6,42
6,42
0,42
9,42
2,42
5,42
2,42
0,42
9,42
3,42
3,42
2,42
6,43
6,43
1,43
7,43
2,43
1,43
0,43
2,43
6,43
0,43
0,43
5,43
0,43
7,44
10,44
10,44
4,44
4,44
7,44
3,44
0,44
0,45
1,45
4,45
4,45
5,45
3,45
6,45
0,46
1,46
6,46
4,46
0,46
3,47
6,47
6,47
4,47
0,47
1,48
4,48
6,48
1,48
1,48
1,48
0,48
0,49
15,49
11,49
1,49
7,49
3,49
7,49
1,49
7,50
4,50
1,50
5,50
3,50
1,50
8,50
1,50
6,51
5,51
2,51
6,51
1,51
1,51
16,51
2,52
5,52
2,52
0,53
9,53
4,53
3,53
8,53
4,54
4,54
7,54
0,54
9,55
1,55
2,55
1,56
12,56
15,56
5,56
0,56
0,56
7,57
1,58
11,58
6,58
6,58
2,58
12,58
11,58
14,59
7,59
1,59
12,59
7,59
6,59
1,60
4,60
4,60
8,60
6,61
9,61
17,62
1,62
13,62
8,62
1,63
12,63
9,63
3,64
8,64
10,64
1,64
5,65
1,65
1,65
1,65
12,65
18,66
1,66
0,66
7,67
1,67
3,67
1,68
3,69
8,69
2,69
3,70
9,70
13,70
9,70
1,70
4,71
7,71
0,71
1,72
16,72
3,72
6,73
5,74
1,74
9,75
9,75
11,75
11,76
5,78
7,78
8,78
7,79
4,80
1,80
8,82
14,82
0,83
22,83
8,84
2,87
0,92
1,94
3,98
