rs,age
1,29
1,29
4,30
2,31
3,31
3,32
2,34
2,36
1,38
2,38
4,38
4,38
1,39
1,40
1,40
5,41
1,42
2,42
5,42
5,42
6,43
6,43
4,44
1,45
2,45
10,45
2,46
3,46
3,46
6,46
8,46
0,47
2,47
5,47
2,48
5,48
6,48
7,48
9,48
2,49
5,49
5,49
9,49
0,50
2,50
4,50
7,50
9,50
0,51
2,51
3,51
6,52
6,52
7,52
10,52
5,53
6,53
7,53
11,53
3,54
3,54
3,54
5,54
7,54
10,54
4,55
8,55
2,56
2,56
4,56
6,56
0,57
3,57
3,57
3,57
5,57
6,57
6,57
7,57
7,57
8,57
8,57
9,57
1,58
5,58
9,58
1,59
4,59
4,59
5,59
5,59
7,59
8,59
3,60
3,60
5,60
5,60
6,60
6,60
7,60
8,60
9,60
9,60
12,60
2,61
5,61
9,61
3,62
2,63
7,63
8,63
8,63
2,64
2,64
3,64
3,64
5,64
0,65
3,65
4,65
6,65
6,65
6,65
6,65
6,65
0,66
0,66
1,66
7,66
7,66
13,66
2,67
3,67
4,67
6,67
7,67
8,67
10,67
1,68
3,68
3,68
8,68
11,68
13,68
3,69
3,69
4,69
4,69
4,69
6,69
6,69
6,69
7,69
7,69
7,69
8,69
2,70
3,70
4,70
6,70
6,70
6,70
6,70
8,70
9,70
9,70
0,71
2,71
3,71
4,71
4,71
5,71
5,71
6,71
8,71
10,71
11,71
1,72
1,72
4,72
5,72
5,72
6,72
6,72
6,72
6,72
2,73
3,73
3,73
4,73
5,73
5,73
5,73
10,73
0,74
0,74
0,74
2,74
2,74
3,74
6,74
6,74
10,74
0,75
2,75
4,75
4,75
4,75
6,75
6,75
7,75
7,75
7,75
8,75
10,75
11,75
2,76
4,76
4,76
6,76
7,76
7,76
9,76
9,76
0,77
1,77
4,77
4,77
4,77
5,77
5,77
6,77
7,77
8,77
8,77
8,77
9,77
0,78
0,78
2,78
2,78
3,78
4,78
4,78
4,78
4,78
4,78
5,78
5,78
5,78
6,78
7,78
8,78
8,78
9,78
3,79
5,79
5,79
6,79
6,79
6,79
7,79
8,79
8,79
8,79
8,79
9,79
4,80
4,80
5,80
6,80
6,80
6,80
7,80
10,80
11,80
11,80
12,80
3,81
4,81
6,81
7,81
7,81
8,81
1,82
6,82
6,82
7,82
8,82
1,83
2,83
4,83
5,83
9,83
3,84
6,84
6,84
6,84
7,84
7,84
8,84
12,84
12,84
2,85
6,85
6,85
3,86
4,86
5,86
5,86
6,86
6,86
6,86
7,86
9,86
2,87
7,87
10,87
10,87
6,88
4,89
4,89
9,89
0,90
6,90
2,91
5,91
9,91
6,92
5,93
6,94
