rs,age
0,18
2,19
5,19
0,21
4,22
0,23
1,23
1,23
1,23
1,23
2,23
3,24
0,25
1,25
6,25
0,26
0,26
0,27
1,27
1,27
3,27
3,27
4,27
1,28
1,28
1,28
1,28
2,28
2,28
3,28
0,29
0,29
1,29
1,29
2,29
0,30
1,30
2,30
2,30
2,30
0,31
2,31
3,31
1,32
1,32
2,32
2,32
1,33
2,33
2,33
2,33
2,33
3,33
4,33
0,34
2,34
2,34
3,34
6,34
2,35
2,35
3,35
3,35
3,35
3,35
1,36
1,36
1,36
2,36
3,36
6,36
8,36
0,37
1,37
2,37
3,37
3,37
9,37
0,38
1,38
2,38
3,38
4,38
5,38
6,38
0,39
1,39
2,39
2,39
5,39
6,39
6,39
7,39
0,40
1,40
1,40
1,40
2,40
2,40
3,40
5,40
6,40
1,41
3,41
3,41
3,41
3,41
4,41
4,41
2,42
2,42
3,42
3,42
4,42
4,42
4,42
4,42
4,42
5,42
5,42
6,42
7,42
0,43
1,43
3,43
3,43
4,43
5,43
1,44
1,44
1,44
1,44
2,44
2,44
2,44
3,44
7,44
7,44
8,44
0,45
0,45
2,45
4,45
5,45
6,45
0,46
2,46
2,46
3,46
3,46
5,46
10,46
2,47
2,47
3,47
3,47
4,47
4,47
5,47
5,47
6,47
6,47
7,47
0,48
1,48
3,48
5,48
6,48
6,48
6,48
6,48
8,48
2,49
3,49
3,49
4,49
5,49
5,49
5,49
5,49
7,49
0,50
1,50
1,50
1,50
1,50
1,50
2,50
3,50
3,50
4,50
4,50
4,50
5,50
6,50
6,50
0,51
0,51
3,51
3,51
4,51
4,51
5,51
5,51
5,51
6,51
6,51
2,52
4,52
5,52
6,52
7,52
1,53
1,53
1,53
1,53
2,53
2,53
3,53
4,53
5,53
6,53
6,53
7,53
7,53
7,53
13,53
0,54
2,54
2,54
2,54
3,54
4,54
4,54
5,54
5,54
5,54
5,54
5,54
6,54
6,54
10,54
0,55
2,55
2,55
2,55
3,55
3,55
3,55
3,55
3,55
4,55
4,55
4,55
4,55
5,55
5,55
5,55
5,55
6,55
6,55
7,55
0,56
1,56
1,56
2,56
2,56
3,56
4,56
4,56
5,56
5,56
6,56
0,57
2,57
2,57
2,57
2,57
3,57
3,57
3,57
4,57
4,57
5,57
7,57
8,57
9,57
2,58
2,58
3,58
4,58
5,58
7,58
7,58
7,58
7,58
8,58
8,58
8,58
1,59
1,59
2,59
2,59
3,59
3,59
3,59
4,59
4,59
4,59
4,59
5,59
5,59
6,59
7,59
8,59
9,59
0,60
0,60
1,60
1,60
2,60
2,60
2,60
3,60
3,60
3,60
3,60
4,60
4,60
4,60
5,60
6,60
7,60
8,60
10,60
10,60
0,61
0,61
1,61
2,61
3,61
4,61
4,61
4,61
4,61
5,61
6,61
6,61
6,61
6,61
7,61
7,61
8,61
8,61
9,61
0,62
0,62
0,62
1,62
2,62
2,62
3,62
3,62
4,62
4,62
4,62
4,62
5,62
5,62
6,62
6,62
7,62
8,62
8,62
8,62
9,62
9,62
9,62
1,63
2,63
2,63
3,63
3,63
3,63
4,63
5,63
5,63
5,63
5,63
5,63
5,63
6,63
6,63
7,63
8,63
8,63
8,63
0,64
0,64
0,64
0,64
0,64
1,64
2,64
3,64
3,64
3,64
4,64
4,64
5,64
5,64
5,64
6,64
6,64
6,64
8,64
9,64
10,64
0,65
1,65
1,65
2,65
2,65
2,65
3,65
3,65
3,65
4,65
5,65
6,65
6,65
6,65
6,65
6,65
7,65
7,65
7,65
7,65
8,65
8,65
10,65
10,65
10,65
0,66
0,66
1,66
1,66
1,66
2,66
2,66
3,66
3,66
3,66
3,66
3,66
4,66
4,66
4,66
5,66
5,66
5,66
5,66
5,66
6,66
6,66
7,66
7,66
7,66
7,66
8,66
11,66
11,66
23,66
0,67
0,67
1,67
2,67
2,67
2,67
2,67
2,67
3,67
3,67
3,67
3,67
3,67
3,67
4,67
5,67
5,67
5,67
5,67
5,67
5,67
6,67
6,67
6,67
7,67
8,67
8,67
9,67
10,67
0,68
0,68
0,68
1,68
2,68
3,68
3,68
3,68
3,68
4,68
4,68
4,68
5,68
5,68
5,68
6,68
6,68
6,68
6,68
6,68
6,68
6,68
7,68
7,68
7,68
8,68
8,68
0,69
0,69
1,69
1,69
2,69
3,69
3,69
3,69
3,69
3,69
3,69
4,69
4,69
5,69
5,69
5,69
6,69
8,69
8,69
8,69
11,69
0,70
0,70
2,70
2,70
2,70
2,70
3,70
3,70
3,70
3,70
4,70
4,70
4,70
4,70
4,70
4,70
4,70
5,70
5,70
5,70
5,70
6,70
6,70
6,70
9,70
0,71
0,71
0,71
0,71
0,71
0,71
3,71
3,71
3,71
4,71
4,71
4,71
5,71
5,71
5,71
5,71
5,71
6,71
6,71
6,71
7,71
8,71
0,72
1,72
1,72
2,72
2,72
2,72
2,72
3,72
3,72
3,72
3,72
3,72
4,72
4,72
4,72
4,72
4,72
4,72
4,72
4,72
4,72
5,72
5,72
5,72
5,72
5,72
6,72
6,72
6,72
7,72
7,72
7,72
8,72
12,72
0,73
0,73
0,73
1,73
1,73
2,73
2,73
2,73
3,73
3,73
3,73
3,73
3,73
3,73
3,73
4,73
4,73
4,73
4,73
4,73
5,73
6,73
6,73
6,73
7,73
8,73
8,73
10,73
0,74
1,74
1,74
2,74
2,74
2,74
3,74
3,74
3,74
4,74
4,74
4,74
4,74
4,74
4,74
4,74
5,74
5,74
5,74
5,74
5,74
6,74
6,74
6,74
8,74
8,74
9,74
0,75
1,75
1,75
1,75
2,75
2,75
2,75
2,75
3,75
4,75
4,75
4,75
4,75
4,75
5,75
5,75
5,75
6,75
7,75
7,75
7,75
7,75
8,75
8,75
8,75
8,75
8,75
10,75
0,76
1,76
2,76
3,76
3,76
3,76
3,76
4,76
4,76
4,76
4,76
4,76
5,76
5,76
5,76
5,76
5,76
6,76
6,76
6,76
7,76
7,76
7,76
8,76
8,76
0,77
0,77
1,77
1,77
