age,rs
48,4
37,4
19,1
41,2
30,1
25,0
57,4
35,4
55,8
17,0
21,1
40,5
35,2
53,5
43,3
28,0
51,5
65,6
25,2
41,6
48,6
32,1
55,5
30,2
19,0
23,2
32,2
75,2
72,2
35,5
38,5
52,2
37,2
41,5
70,8
33,1
22,1
23,1
48,3
38,2
19,1
50,5
40,3
21,0
29,2
42,4
27,0
19,0
19,0
27,1
50,1
27,2
55,8
48,0
58,9
22,1
42,4
34,0
25,1
52,5
38,5
23,1
36,3
33,5
30,2
41,4
22,0
27,2
36,1
56,3
43,6
38,6
38,4
22,0
24,0
52,3
52,5
18,0
38,3
65,3
45,7
67,3
22,1
28,1
55,1
25,0
33,2
20,0
21,1
42,2
34,3
68,3
37,0
42,4
44,2
32,0
35,2
20,1
55,3
60,2
35,2
39,2
40,5
44,3
62,0
55,4
21,0
25,0
28,2
26,0
48,4
50,6
28,1
75,0
30,3
73,5
28,3
30,2
27,0
20,0
32,1
35,3
20,0
45,2
28,1
27,0
52,0
68,0
50,3
19,0
53,5
