age,rs
18,0
18,0
18,0
18,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
20,2
20,0
20,1
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,1
22,0
22,0
22,1
23,0
23,2
23,2
23,2
23,2
24,0
25,0
25,0
25,0
25,0
26,0
26,0
26,1
26,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
27,2
27,0
27,2
27,1
27,1
27,0
27,1
27,0
27,3
27,2
28,3
28,2
28,4
28,0
28,0
28,4
28,1
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,3
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
30,2
30,0
30,0
30,0
30,1
30,0
30,0
30,1
30,1
30,1
30,3
30,1
30,0
30,0
30,0
30,0
30,0
31,0
31,0
31,0
31,0
31,0
31,1
31,0
31,2
31,0
32,1
32,4
32,0
32,0
32,3
32,2
32,3
32,0
33,0
33,0
33,1
33,0
33,0
33,0
33,0
34,0
34,0
34,4
34,0
34,0
34,0
34,2
35,3
35,2
35,4
35,0
35,0
35,1
35,4
35,2
35,0
35,0
35,0
35,0
36,0
36,4
36,0
36,1
36,0
36,0
36,0
37,5
37,0
37,4
37,0
37,0
38,1
38,2
38,3
38,0
38,4
38,0
38,0
38,2
38,0
38,0
38,1
38,0
39,0
39,6
39,8
39,6
39,7
39,0
39,0
39,0
39,6
39,0
39,1
39,0
39,0
40,4
40,3
40,0
40,6
40,1
40,3
40,3
40,6
40,6
40,0
40,0
40,0
41,5
41,1
41,8
41,0
41,5
41,0
41,4
42,4
42,7
42,0
42,5
42,5
42,0
43,1
43,7
43,0
43,0
43,3
43,0
44,4
44,3
44,0
44,2
44,0
44,7
44,2
44,0
44,3
44,0
45,4
45,7
45,0
45,8
45,0
45,4
45,9
45,4
45,7
46,5
46,0
46,3
46,5
46,4
47,6
47,4
47,2
47,3
47,4
47,4
47,6
47,0
47,5
47,3
47,0
47,5
47,0
48,5
48,1
48,6
48,7
48,0
48,9
49,4
49,6
49,5
49,7
49,5
50,5
50,6
50,4
50,3
50,0
50,4
50,0
50,6
51,3
51,4
51,11
51,6
51,6
51,6
51,1
51,7
51,0
51,1
52,5
52,0
52,1
52,2
52,5
53,3
53,8
53,0
53,6
53,0
53,6
53,1
53,7
53,0
53,0
54,4
54,5
54,0
54,6
54,0
54,1
55,3
55,0
55,1
55,3
55,7
55,2
56,5
56,2
56,0
56,4
56,11
56,2
56,0
56,4
56,8
57,9
57,9
57,0
57,4
57,2
57,0
58,4
58,9
58,11
58,7
58,4
58,5
58,6
58,2
59,5
59,0
59,3
59,1
59,2
59,7
60,5
60,9
60,10
60,7
60,0
60,0
61,5
61,1
62,8
62,8
62,9
62,0
62,7
63,13
63,0
63,4
63,1
63,2
63,3
64,4
64,4
64,0
64,1
65,6
65,4
65,2
66,5
66,0
66,5
66,2
67,8
67,8
68,7
68,3
68,6
68,6
69,7
69,8
69,1
69,4
70,9
70,4
71,8
71,10
71,5
72,3
72,3
72,0
73,4
73,1
73,2
74,6
75,8
75,13
76,5
76,3
76,7
78,10
79,11
80,1
89,0
