age,rs
1,0
1,0
1,0
2,0
2,0
4,0
5,0
5,0
5,0
6,0
6,0
6,0
7,0
7,0
7,0
7,0
8,0
8,0
9,0
9,0
10,0
10,0
11,0
12,0
12,0
13,0
13,0
14,0
15,0
15,0
15,0
15,0
16,0
16,0
16,0
16,0
17,0
17,0
18,0
18,0
18,0
19,0
19,0
20,0
21,0
21,0
21,0
22,0
22,0
23,0
23,0
23,1
24,0
24,1
25,0
25,0
25,2
26,0
26,0
26,0
26,0
26,0
26,2
27,2
28,0
28,0
30,0
30,0
30,1
30,3
31,2
32,0
32,2
32,2
34,1
36,3
36,3
38,2
38,4
40,2
40,2
41,1
43,2
43,3
44,3
45,5
45,5
46,6
46,7
49,5
50,1
51,2
51,6
52,4
52,5
53,2
54,4
55,6
57,7
58,0
59,2
60,9
71,4
71,11
73,12
79,8
