age,rs
65,2
45,0
40,0
30,0
60,0
70,3
50,4
45,4
60,7
35,1
35,3
30,1
55,6
60,6
25,1
55,2
35,1
30,0
40,3
45,3
35,2
35,2
55,4
35,0
40,1
50,0
35,1
50,4
45,2
40,3
35,1
50,1
40,1
45,3
55,1
35,1
45,1
65,1
45,2
45,3
45,0
45,0
65,9
35,3
45,3
30,1
35,1
30,0
50,2
30,1
55,1
40,0
65,5
25,1
45,5
45,0
50,4
35,1
60,4
45,3
45,5
30,2
35,1
60,1
35,3
45,0
60,1
35,1
80,3
40,2
35,2
45,3
50,4
60,0
70,0
45,1
75,4
75,3
55,3
45,3
60,5
25,1
15,0
65,4
40,3
45,3
40,1
50,1
35,1
35,2
30,2
60,1
30,1
45,6
