rs,age
7,62
4,52
0,22
0,66
4,58
0,27
0,60
0,56
5,55
1,45
1,45
1,25
2,78
3,65
5,65
1,58
2,38
3,33
3,65
0,46
0,46
1,38
0,88
2,70
4,67
3,66
3,56
6,50
0,71
2,65
5,51
2,70
5,60
0,60
3,54
8,64
2,63
1,60
6,70
0,60
3,40
3,35
4,71
5,60
7,50
7,67
3,67
0,64
5,58
7,47
3,25
7,77
2,66
4,60
7,52
6,44
1,43
2,40
3,24
5,70
6,69
3,68
0,40
2,76
5,73
2,63
4,51
6,50
2,35
0,28
1,23
3,80
3,60
0,60
4,80
6,33
0,57
7,50
3,36
2,29
1,23
2,66
3,65
0,65
8,58
0,46
2,80
0,80
0,65
11,63
8,57
3,83
6,66
2,66
2,60
12,57
1,45
0,82
0,70
5,66
7,57
6,55
9,50
4,45
7,67
10,55
9,55
2,81
4,75
4,53
4,37
5,73
7,64
1,30
3,85
12,73
2,65
4,70
6,100
10,60
9,48
6,84
0,78
4,29
11,29
4,97
5,87
0,73
14,69
12,65
3,101
10,83
0,74
4,72
6,34
12,89
0,62
2,38
1,31
4,82
0,37
3,34
13,48
3,42
3,34
7,91
7,72
0,49
4,86
8,48
2,92
2,80
11,80
10,45
5,80
2,66
9,60
6,84
8,81
0,66
6,47
7,81
8,77
7,73
4,47
3,40
8,81
10,66
8,47
7,70
11,46
7,82
6,75
8,73
13,65
0,79
9,54
6,44
9,33
8,72
11,65
14,66
2,36
0,75
4,71
5,75
4,56
13,86
14,76
7,38
2,78
7,72
15,82
6,75
5,35
8,82
6,77
7,77
6,72
10,45
8,98
10,70
8,69
10,66
10,78
6,69
0,43
0,32
1,38
10,85
6,73
11,68
6,61
4,72
4,65
5,52
1,30
13,70
10,53
3,72
12,72
3,24
1,92
0,80
9,72
13,70
8,39
11,79
8,64
7,83
0,71
0,60
0,35
3,33
3,80
1,76
14,79
0,63
3,77
11,75
11,87
0,83
16,74
1,81
10,46
4,29
0,28
0,76
4,65
0,59
9,55
6,48
14,71
0,83
2,78
2,77
7,73
2,93
0,87
5,86
8,74
8,65
7,53
3,47
9,76
6,71
7,50
18,75
12,48
7,80
9,48
8,80
11,70
4,69
7,61
9,82
0,81
10,76
5,72
6,70
2,66
10,63
9,81
5,75
9,61
8,53
7,84
15,51
5,54
14,91
0,86
12,80
8,45
9,90
8,77
5,81
6,66
1,60
20,91
6,75
1,60
0,40
7,78
12,66
7,62
1,94
11,84
10,83
8,80
5,70
6,45
13,62
8,70
2,70
3,65
7,65
5,58
6,43
13,63
7,40
8,40
15,92
5,83
1,78
8,76
5,45
10,43
