rs,age
0,16
0,17
0,17
0,18
0,18
0,19
0,20
0,20
0,22
0,22
0,23
0,23
0,25
0,26
0,26
0,27
0,28
0,28
0,29
0,29
0,29
0,30
0,32
0,33
0,34
0,35
0,37
0,43
0,43
0,44
0,45
0,46
0,46
0,49
0,50
0,50
0,52
0,53
0,54
0,55
0,55
0,57
0,58
0,59
0,60
0,60
0,60
0,62
0,63
0,65
0,65
0,66
0,66
0,67
0,67
0,69
0,69
0,70
0,71
0,72
0,74
0,74
0,75
0,75
0,76
0,78
0,78
0,80
0,83
0,85
0,88
0,90
1,33
1,42
1,43
1,47
1,49
1,51
1,56
1,56
1,73
1,74
1,80
1,83
1,85
2,32
2,44
2,78
2,79
2,80
3,27
3,40
3,57
3,63
3,68
3,85
4,30
4,38
4,39
4,45
4,46
4,47
4,49
4,72
4,73
5,29
5,36
5,53
5,64
5,67
5,74
5,76
5,85
6,51
6,54
6,66
6,70
6,80
6,93
7,72
7,72
7,74
7,75
7,78
7,83
7,84
7,84
7,86
7,88
8,58
8,63
8,70
8,76
8,86
8,89
9,47
9,66
9,66
9,66
9,74
9,76
10,49
10,50
10,58
10,60
10,61
10,68
10,84
10,87
11,46
11,71
11,81
11,99
12,72
12,75
13,56
14,50
14,81
