rs,age
0,16
0,16
0,16
0,17
0,17
0,17
0,17
0,18
0,18
0,19
0,19
0,19
0,19
0,20
0,21
0,22
0,22
0,23
0,24
0,25
0,25
0,25
0,26
0,26
0,28
0,29
0,29
0,31
0,31
0,33
0,33
0,34
0,34
0,35
0,36
0,36
0,37
0,38
0,39
0,39
0,40
0,40
0,41
0,41
0,42
0,43
0,44
0,44
0,45
0,45
0,46
0,46
0,48
0,48
0,50
0,51
0,51
0,51
0,52
0,52
0,53
0,54
0,55
0,55
0,57
0,58
0,59
0,59
0,59
0,60
0,60
0,61
0,61
0,61
0,63
0,64
0,66
0,66
0,67
0,69
0,71
0,71
0,71
0,72
0,73
0,73
0,73
0,73
0,74
0,75
0,75
0,75
0,75
0,76
0,76
0,76
0,76
0,78
0,78
0,79
0,79
0,79
0,79
0,80
0,81
0,82
0,82
0,84
0,84
0,84
0,86
0,87
0,87
0,91
0,91
0,92
1,34
1,41
1,41
1,46
1,47
1,50
1,53
1,63
1,64
1,65
1,66
1,68
1,69
1,71
1,71
1,74
1,76
1,77
1,78
1,79
1,80
1,84
1,87
2,29
2,33
2,34
2,38
2,43
2,48
2,51
2,52
2,58
2,58
2,59
2,61
2,61
2,61
2,62
2,62
2,66
2,66
2,69
2,70
2,70
2,70
2,71
2,74
2,74
2,74
2,75
2,75
2,75
2,75
2,76
2,76
2,78
2,78
2,81
2,83
2,85
2,85
2,87
2,87
2,94
3,37
3,38
3,46
3,48
3,51
3,51
3,54
3,60
3,61
3,66
3,66
3,68
3,69
3,69
3,72
3,73
3,73
3,74
3,75
3,75
3,76
3,77
3,78
3,78
3,80
3,80
3,80
3,82
3,82
3,82
3,82
3,83
3,84
3,85
3,85
3,85
3,87
3,88
3,89
3,91
3,92
4,41
4,47
4,50
4,56
4,58
4,60
4,60
4,60
4,62
4,64
4,67
4,68
4,68
4,68
4,68
4,69
4,69
4,69
4,71
4,72
4,77
4,77
4,81
4,83
4,83
4,86
4,88
4,91
4,95
5,36
5,45
5,48
5,54
5,55
5,56
5,60
5,62
5,64
5,66
5,66
5,66
5,67
5,68
5,70
5,71
5,73
5,73
5,73
5,74
5,74
5,75
5,77
5,77
5,78
5,79
5,80
5,80
5,81
5,82
5,83
5,84
5,84
5,84
5,85
5,88
5,88
6,38
6,46
6,46
6,48
6,52
6,53
6,57
6,57
6,60
6,61
6,63
6,64
6,64
6,65
6,70
6,71
6,71
6,71
6,73
6,73
6,76
6,77
6,77
6,79
6,79
6,80
6,80
6,81
6,83
6,83
6,87
7,40
7,43
7,46
7,53
7,53
7,54
7,56
7,58
7,59
7,60
7,61
7,63
7,64
7,65
7,65
7,67
7,72
7,72
7,73
7,76
7,77
7,79
7,80
7,80
7,84
7,84
7,84
7,85
8,47
8,48
8,54
8,56
8,59
8,63
8,66
8,67
8,68
8,78
8,79
8,79
8,80
8,82
8,83
8,84
8,84
8,88
8,88
8,90
9,59
9,63
9,66
9,67
9,69
9,70
9,70
9,71
9,72
9,79
9,84
9,87
10,65
10,68
10,69
10,70
10,76
10,81
10,82
10,87
10,89
10,93
10,98
11,46
11,74
11,79
11,88
12,65
12,70
12,72
12,85
12,85
12,87
13,77
14,76
14,79
