age,rs
70,11
59,12
72,13
69,5
64,12
76,6
48,4
71,19
50,6
49,7
69,14
70,8
69,8
36,1
43,4
31,3
62,9
47,8
39,4
65,5
29,1
38,1
46,4
54,9
38,7
66,10
64,8
48,3
44,3
48,2
32,1
44,4
39,3
35,2
36,3
43,5
40,2
48,1
44,4
35,2
57,6
37,1
47,4
36,2
38,2
43,2
38,1
45,7
36,1
55,5
48,4
43,4
29,2
33,2
39,3
43,6
53,1
53,8
47,6
45,3
55,5
40,1
66,8
52,3
60,6
87,22
52,4
42,6
68,9
49,3
49,3
77,7
24,1
43,2
69,6
33,1
35,3
42,6
52,7
40,5
35,2
50,5
42,3
40,5
69,9
69,18
52,7
75,3
48,4
66,5
60,10
60,9
47,5
46,1
50,8
52,6
64,14
61,10
49,8
62,4
53,3
68,10
34,1
47,2
61,2
32,2
69,17
33,1
36,1
42,2
32,1
65,9
36,1
57,7
66,7
70,11
48,1
70,10
45,3
77,2
49,2
71,1
58,6
52,6
48,3
48,1
78,3
69,9
69,4
61,3
48,10
46,5
44,3
43,1
35,4
30,2
63,17
