age,rs
52,4
59,7
67,1
44,1
58,6
51,4
65,7
38,7
44,2
72,11
68,15
47,4
54,6
49,4
43,3
64,2
71,2
51,3
57,3
72,2
65,5
51,2
82,7
43,6
70,4
66,5
49,3
54,4
47,3
72,9
55,6
55,7
55,8
63,5
76,3
52,1
49,5
64,4
66,6
67,5
67,1
52,9
38,6
48,2
37,2
51,5
40,2
49,4
47,4
76,6
60,6
54,6
33,1
69,4
61,7
40,1
53,9
52,3
57,3
44,5
74,7
52,3
48,5
42,4
31,2
54,7
44,3
51,6
33,1
55,5
38,2
34,4
54,4
46,5
59,5
30,3
50,1
60,5
64,4
64,3
53,5
57,1
36,2
51,5
45,2
44,5
59,3
36,2
54,1
48,1
70,7
71,13
41,2
