ageraw,rs,age
18.3564271,0,18
18,0,18
18,0,18
18,0,18
18.49730322,0,18
18,0,18
18,0,18
17.68041068,0,18
18.0054757,0,18
18.17489391,0,18
18.02464066,0,18
18.28125941,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18.18858316,0,18
18,0,18
17.88106776,0,18
17.8564271,0,18
18,0,18
18.16941821,0,18
18,0,18
18,0,18
18.27586585,0,18
18.28561259,0,18
17.51638604,0,18
17.66398357,0,18
18.04380561,0,18
18,0,18
18,0,18
18.47145791,0,18
18,0,18
18,0,18
17.53683778,0,18
18.41661875,0,18
18,0,18
18,0,18
18,0,18
18.29776865,0,18
18.13809719,0,18
18,0,18
18,0,18
17.94246407,0,18
18,0,18
18.31025325,0,18
18,0,18
18.14477755,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
17.96440794,0,18
18.22965092,0,18
18,0,18
18,0,18
18,0,18
18,0,18
17.62718686,0,18
18.27466119,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18,0,18
18.25549624,0,18
18,0,18
18,0,18
17.76644764,0,18
18.49456537,0,18
17.93582478,0,18
18.22537988,0,18
17.55865845,0,18
19.32784394,0,19
19,0,19
19,0,19
19.28013689,0,19
18.66124572,0,19
18.83605749,0,19
19,0,19
19,0,19
18.65448323,0,19
19,0,19
19,0,19
18.71865845,0,19
19.16659822,0,19
19.16394251,0,19
19,0,19
18.55874059,0,19
19,0,19
18.96440794,0,19
19,0,19
19,0,19
19,0,19
19.00821355,0,19
19,0,19
18.74997947,0,19
18.85368925,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
18.52314853,0,19
18.52850103,0,19
19.07238877,0,19
19,0,19
19,0,19
19.37559206,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
18.75819302,0,19
19,0,19
19,0,19
18.71173169,0,19
18.93856263,0,19
19,0,19
19,0,19
18.5861191,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19.37289528,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19.32240931,0,19
19,0,19
19,0,19
19,0,19
18.65303217,0,19
19,0,19
19.03285421,0,19
19,0,19
19,0,19
19,0,19
18.79652293,0,19
19,0,19
19,0,19
18.75545517,0,19
18.87832991,0,19
19.32514716,0,19
19.41396304,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
18.73637235,0,19
19,0,19
19.30324435,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19.21986311,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
19,0,19
18.82236824,0,19
18.97262149,0,19
19.17215606,0,19
19.23629021,0,19
19.30324435,0,19
19,0,19
19,0,19
19,0,19
19.41396304,0,19
20,0,20
20.26918549,0,20
20,0,20
19.89475702,0,20
19.99058179,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
19.88928131,0,20
19.88260096,0,20
20,0,20
20.1475154,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20.29921971,0,20
20,0,20
20,0,20
19.96046543,0,20
20.42885695,0,20
20,0,20
19.93582478,0,20
20.22255989,0,20
20,0,20
20.34157426,0,20
20,0,20
19.51373032,0,20
20,0,20
20,0,20
19.95619439,0,20
20,0,20
20.25549624,0,20
20.37442847,0,20
20.42881588,0,20
19.63531828,0,20
20.06023272,0,20
20,0,20
20,0,20
20,0,20
19.56566735,0,20
20,0,20
19.89089665,0,20
20,0,20
20,0,20
19.92487337,0,20
20,0,20
20,0,20
20,0,20
20,0,20
19.92487337,0,20
20,0,20
20,0,20
20,0,20
19.73081451,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20.25275838,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20.00821355,0,20
20.37007529,0,20
20.34422998,0,20
20,0,20
20,0,20
19.78403833,0,20
19.78951403,0,20
19.94951403,0,20
19.96440794,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20.49448323,0,20
20,0,20
21,0,21
21,0,21
20.6080219,0,21
20.5684052,0,21
20.63712526,0,21
21,0,21
21.06143737,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21,0,21
20.72421629,0,21
21.43586585,0,21
21,0,21
20.66398357,0,21
21,0,21
20.5504449,0,21
21,0,21
21.24720055,0,21
21.36733744,0,21
21,0,21
21,0,21
21,0,21
20.65568789,0,21
21.10644764,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21.27457906,0,21
20.79498973,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21,0,21
20.93308693,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21.08873374,0,21
21.24454483,0,21
21,0,21
21,0,21
21,0,21
20.50277892,0,21
20.50551677,0,21
20.88533881,0,21
21,0,21
21,0,21
21,0,21
20.77582478,0,21
21.35039014,0,21
21.39753593,0,21
21.41670089,0,21
21,0,21
21,0,21
21,0,21
21,0,21
21,0,21
