rs,age
6,68
4,60
0,60
3,60
3,60
8,56
9,55
7,55
10,55
6,50
7,50
6,50
4,50
6,50
7,50
7,50
18,45
4,45
5,45
1,42
4,40
5,40
2,40
13,40
2,40
6,40
5,40
1,37
1,37
3,35
3,35
2,35
6,35
3,35
5,35
5,35
2,33
1,30
6,30
4,30
4,30
6,30
3,30
5,30
3,30
4,30
3,30
5,30
0,30
3,30
3,29
4,29
0,28
1,28
7,27
3,27
6,27
6,27
2,27
0,27
3,26
0,26
1,26
4,25
3,25
1,25
1,25
2,25
4,25
1,24
1,23
2,23
1,22
1,22
0,22
0,22
1,22
1,22
1,20
0,20
0,20
1,20
0,20
0,19
0,19
0,19
0,19
0,18
1,18
0,18
0,18
