rs,age
0,16
0,19
0,20
0,20
0,20
0,20
1,21
0,22
0,22
0,22
0,22
0,23
0,23
0,23
0,24
1,24
3,24
1,24
3,24
2,24
1,24
1,24
0,25
1,25
0,25
2,25
0,25
2,25
1,25
4,26
1,26
0,27
0,28
1,29
2,29
1,29
2,29
2,29
3,30
2,30
2,30
2,31
2,31
2,31
3,31
2,31
0,31
0,32
2,32
0,32
6,32
5,32
4,33
3,33
2,33
2,33
1,33
4,34
3,35
0,35
1,36
3,36
1,37
5,37
3,37
3,37
6,37
2,38
6,38
6,38
4,38
8,39
3,39
5,39
2,39
6,40
2,40
6,40
0,40
4,40
3,41
4,41
5,41
3,41
4,41
12,41
4,41
4,41
6,41
1,41
8,42
16,42
6,42
8,42
4,42
9,42
8,42
9,43
9,43
7,43
4,43
8,43
6,43
6,43
10,43
2,43
5,44
0,44
12,44
12,44
5,44
2,44
6,45
8,45
5,45
14,46
5,46
3,46
1,46
7,47
8,47
9,47
3,47
7,47
2,48
5,48
4,48
11,48
7,48
1,48
9,48
5,49
7,49
8,49
6,49
6,50
9,50
10,50
7,50
7,50
7,50
2,50
6,50
13,50
6,50
11,51
5,51
4,51
4,51
9,52
6,52
16,52
6,52
11,52
9,52
4,52
2,53
4,53
2,53
6,53
3,53
10,53
11,54
8,54
9,55
3,55
0,56
11,56
6,56
6,56
6,56
11,57
4,57
3,57
5,57
8,57
18,57
7,57
11,57
15,57
6,57
9,57
8,57
4,58
4,58
15,59
9,59
3,59
7,59
14,59
6,59
6,59
7,60
1,60
7,60
7,60
5,60
7,60
4,61
12,61
8,61
13,61
3,61
11,61
8,61
7,61
10,61
10,61
5,61
0,61
9,62
18,62
1,62
6,62
8,62
10,63
5,63
7,63
7,63
2,63
19,63
8,64
3,64
4,64
6,65
7,65
10,66
9,66
15,66
5,66
9,66
10,67
10,67
9,67
14,67
8,67
7,67
15,67
8,67
5,67
7,67
4,67
4,68
12,68
4,69
12,69
10,69
7,69
8,70
19,70
9,70
7,70
14,71
13,72
15,73
13,73
12,74
17,74
10,74
12,75
10,75
8,75
11,75
12,76
2,76
14,76
6,76
14,76
9,76
9,77
17,77
18,77
15,78
12,78
5,80
10,80
5,81
3,81
9,84
4,84
6,84
9,85
8,87
8,87
9,88
11,91
9,93
4,94
1,100
