age,rs
17,0
17,0
18,0
18,0
18,0
20,0
21,0
21,0
21,0
22,0
22,0
22,0
22,1
23,0
23,0
23,1
23,1
24,0
24,1
24,2
26,0
26,1
26,3
26,3
27,0
27,2
28,3
29,1
30,0
30,3
31,1
31,1
31,2
31,3
31,4
32,0
32,0
32,2
33,0
33,0
33,0
33,1
33,2
34,0
34,1
34,2
34,3
34,6
35,2
36,3
37,6
38,1
38,1
38,5
39,3
39,4
39,6
40,0
41,1
41,2
41,3
41,4
41,4
41,6
41,8
42,2
42,2
42,2
42,3
42,6
43,5
43,5
43,7
43,10
44,2
45,3
46,3
46,4
46,7
47,0
47,4
48,4
49,0
49,7
50,6
50,9
52,2
53,4
53,5
54,4
55,7
55,8
56,5
56,10
57,1
57,10
58,9
59,2
59,8
60,0
62,2
62,5
64,5
65,12
67,2
71,4
72,4
73,1
74,1
75,4
77,3
77,6
