rs,age
0,16
0,16
0,16
0,16
0,17
0,17
0,17
0,17
0,18
0,18
0,18
0,19
0,19
2,19
0,20
0,20
0,21
0,21
0,22
0,22
0,23
1,23
0,24
0,24
0,25
1,25
2,25
4,25
0,27
0,27
0,27
1,27
1,27
2,27
0,28
2,28
0,29
0,29
1,29
3,29
4,31
4,31
2,32
4,32
3,33
5,33
5,33
1,34
2,34
3,34
6,35
5,36.5
1,37
3,37
5,37
4,38
4,39
5,40
2,41
1,42
3,42
7,42
6,43
6,43
5,44
6,44
6,44
2,45
4,45
6,45
1,46
8,46
1,47
6,48
2,49
4,51
7,51
3,52
5,52
4,53
4,54
5,54
6,55
5,58
4,59
4,64
5,66
2,68
5,68
4,69
6,70
0,73
7,73
11,73
4,76
6,76
9,84
