rs,age
0,16
0,17
0,17
0,17
0,17
0,17
0,18
0,18
0,18
0,18
0,19
0,19
0,19
0,19
0,20
0,20
0,20
0,21
0,21
0,21
0,21
0,21
1,21
0,21
0,22
0,22
0,22
0,22
0,22
0,22
0,22
0,23
0,23
1,23
0,23
0,23
0,24
0,24
0,24
0,25
0,25
0,25
0,25
1,25
0,25
0,25
0,26
4,26
0,26
2,27
2,27
2,29
2,29
0,29
2,30
0,30
3,31
2,32
2,32
2,32
4,33
7,33
2,34
1,34
1,34
4,34
0,36
2,37
3,37
4,38
1,39
3,39
4,40
3,40
4,40
5,41
5,42
3,42
6,43
1,44
4,47
4,47
2,47
3,48
0,50
0,50
6,51
11,52
5,53
1,53
3,56
6,60
6,60
0,60
3,60
5,62
4,63
0,69
3,71
4,73
