rs,age
0,26
0,31
0,36
0,37
0,39
0,44
0,45
0,46
0,53
0,54
0,60
0,66
0,86
1,23
1,24
1,25
1,27
1,28
1,29
1,29
1,29
1,30
1,30
1,34
1,34
1,37
1,39
1,43
1,43
1,51
1,51
1,58
1,73
1,75
1,84
2,24
2,25
2,26
2,27
2,27
2,27
2,28
2,28
2,29
2,29
2,31
2,32
2,33
2,33
2,33
2,35
2,35
2,36
2,37
2,38
2,43
2,45
2,48
2,50
2,53
2,59
2,60
2,61
2,62
2,62
2,63
2,64
2,65
2,68
2,74
2,78
2,80
3,31
3,32
3,32
3,33
3,34
3,34
3,35
3,37
3,37
3,37
3,38
3,38
3,38
3,39
3,40
3,42
3,43
3,43
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,53
3,53
3,53
3,54
3,54
3,59
3,59
3,61
3,62
3,63
3,63
3,65
3,65
3,68
4,33
4,33
4,34
4,34
4,35
4,38
4,39
4,41
4,46
4,47
4,50
4,52
4,53
4,54
4,54
4,54
4,55
4,55
4,58
4,59
4,59
4,60
4,61
4,64
4,66
4,67
4,69
4,70
4,70
4,71
4,72
4,73
4,75
5,38
5,38
5,38
5,42
5,46
5,46
5,49
5,51
5,53
5,56
5,56
5,57
5,58
5,58
5,60
5,61
5,62
5,62
5,63
5,63
5,64
5,64
5,64
5,65
5,66
5,66
5,67
5,68
5,69
5,69
5,70
5,73
5,76
5,78
6,39
6,41
6,42
6,44
6,51
6,52
6,53
6,53
6,53
6,54
6,56
6,58
6,58
6,59
6,59
6,59
6,60
6,60
6,61
6,61
6,63
6,63
6,67
6,68
6,68
6,73
6,74
6,74
6,75
6,75
6,77
6,78
7,43
7,47
7,49
7,63
7,63
7,65
7,65
7,65
7,70
7,71
7,72
7,73
7,74
7,78
7,82
7,84
7,86
8,53
8,57
8,65
8,72
8,80
8,81
9,64
9,64
9,67
9,68
9,80
12,82
