rs,age
0,18
0,19
0,19
0,20
0,20
0,22
0,22
0,23
6,25
0,35
2,39
3,40
2,40
5,41
2,41
7,41
0,41
0,42
4,43
2,44
4,45
7,47
0,48
3,49
3,50
3,53
5,54
5,57
10,57
6,58
1,59
9,64
0,65
5,65
12,67
5,68
5,68
0,73
8,75
7,76
7,78
11,75
3,34
11,69
6,63
7,75
6,83
1,20
0,22
1,24
1,26
1,28
3,32
2,38
5,39
4,41
0,41
4,42
2,42
3,43
3,43
3,44
3,45
6,46
2,47
4,48
3,49
7,50
4,51
6,52
0,54
1,55
2,58
3,60
7,60
2,61
2,61
4,62
5,64
5,64
9,64
10,65
11,65
1,65
11,66
2,66
7,67
4,67
0,68
6,72
11,74
5,76
10,78
6,79
6,81
4,84
10,92
11,84
5,65
7,71
8,69
9,57
8,36
0,86
1,63
7,70
5,80
11,67
