age_raw,rs_surviving,age
78.32,8,78
72,5,72
68.31,3,68
68,1,68
66.39,3,66
65.46,2,65
65.15,1,65
64.95,2,65
63,8,63
62.91,4,63
62,7,62
61.98,6,62
61.54,5,62
58.89,2,59
58,7,58
56.91,5,57
56.73,6,57
56.57,4,57
55,10,55
55,3,55
55,5,55
54.46,6,54
54.41,4,54
54.07,4,54
53.83,5,54
53,9,53
52.32,6,52
52.23,4,52
51.1,6,51
51.03,4,51
51,10,51
51,6,51
50.13,8,50
50,7,50
50,0,50
50,8,50
48.99,7,49
48.95,10,49
48.69,6,49
47.9,5,48
47.28,1,47
47.13,5,47
47,5,47
47,6,47
46.31,6,46
45.9,5,46
45,6,45
44.2,8,44
44,10,44
43.67,7,44
43.58,4,44
43.13,7,43
42.85,7,43
42.2,5,42
42,5,42
41,7,41
41,7,41
40,5,40
39.93,5,40
39.26,4,39
39.25,4,39
38.17,7,38
38,7,38
37.1,8,37
36.51,8,37
36.41,4,36
36.01,3,36
36,4,36
36,7,36
35.99,3,36
35.74,5,36
35.72,3,36
35.27,4,35
35,6,35
34.97,4,35
33.14,5,33
33,2,33
32.42,5,32
32.12,4,32
32.11,4,32
31.26,3,31
31.21,5,31
30.72,4,31
30.6,6,31
30.03,3,30
30,4,30
30,2,30
29.76,3,30
29.09,2,29
28.64,3,29
28.55,1,29
27.99,2,28
27.62,1,28
27.54,1,28
26.24,0,26
26,3,26
26,0,26
26,0,26
25.82,1,26
25.59,2,26
25.18,1,25
25.04,2,25
25,0,25
24.76,2,25
24.44,1,24
24.35,4,24
24.26,0,24
24.25,0,24
23.88,1,24
23.83,2,24
23.5,0,24
23.47,2,23
23.14,3,23
23.01,0,23
23,0,23
23,1,23
22.82,0,23
22.78,0,23
22.67,0,23
22.4,2,22
22.28,1,22
22.27,0,22
22.02,0,22
22,2,22
22,3,22
22,0,22
22,0,22
21.71,0,22
21.54,1,22
21,0,21
20.86,2,21
20.55,0,21
20.27,0,20
20,0,20
20,0,20
20,0,20
20,0,20
19.9,0,20
19.8,0,20
19.64,0,20
19.19,0,19
19,0,19
19,0,19
19,0,19
18.92,0,19
18.8,0,19
18.52,0,19
18.065,0,18
18,0,18
17.73,0,18
17.48,0,17
17.01,0,17
17,0,17
16.86,0,17
16.45,0,16
16.28,0,16
16,0,16
14.99,0,15
