rs,age
0,27
2,57
2,40
0,20
4,50
4,35
3,35
3,65
2,50
0,23
2,31
1,57
2,43
0,26
3,50
2,27
2,60
0,20
4,56
2,35
4,70
2,40
2,46
0,21
0,20
1,70
3,23
0,27
3,70
2,36
4,36
3,50
1,22
3,45
1,69
2,41
3,37
3,62
0,36
3,56
0,25
3,48
0,23
2,58
3,55
2,40
0,24
3,60
0,27
2,52
0,19
2,50
0,26
3,30
3,50
1,25
2,35
2,30
1,23
3,52
1,45
2,40
5,65
3,44
2,50
3,38
4,45
3,42
3,52
2,24
4,56
0,32
3,34
4,35
0,20
0,19
2,40
3,45
0,20
1,27
1,30
0,23
4,52
0,24
0,25
2,70
2,70
5,48
0,19
3,70
0,60
2,40
3,37
4,70
2,45
4,42
2,32
3,37
4,55
4,70
3,35
1,40
3,50
3,44
3,47
2,45
2,38
2,61
2,32
4,50
1,59
3,35
2,35
4,57
2,40
0,18
3,50
0,19
2,47
3,70
2,45
2,65
2,45
3,45
0,19
2,40
3,52
0,25
2,29
2,33
2,35
5,60
8,70
1,49
4,65
0,19
2,41
1,36
3,56
0,26
4,48
3,45
3,49
4,50
0,19
2,37
6,60
2,60
8,49
3,60
1,70
5,70
3,40
2,70
3,37
0,21
3,42
2,50
4,48
0,23
0,21
3,35
2,43
3,58
3,54
0,21
0,18
3,40
0,19
3,40
0,25
3,32
1,55
2,40
3,70
5,60
3,70
3,70
5,51
2,37
1,60
4,45
3,55
0,20
2,65
4,65
1,34
