rs,age
3,58
4,60
3,34
3,40
3,59
2,38
3,40
6,70
4,70
2,35
5,60
2,36
2,40
2,42
2,55
0,25
2,46
2,35
5,60
3,48
3,50
4,65
0,30
0,27
6,70
3,55
4,40
3,50
1,34
4,60
3,40
4,55
4,49
2,32
4,47
4,64
5,70
2,70
2,60
0,25
3,45
4,40
6,55
4,47
0,25
0,21
0,19
2,49
1,38
5,50
3,40
3,50
4,60
0,25
0,20
0,18
2,41
0,24
0,18
1,50
0,26
2,30
4,60
0,30
2,36
4,52
1,25
1,23
3,33
1,65
1,33
0,30
2,70
0,47
2,38
2,50
0,26
0,22.5
2,45
2,42
1,37
4,70
0,39
2,40
0,20
6,70
1,40
1,55
2,38
6,63
0,30
1,60
3,40
3,31
0,28
3,34
3,30
2,43
3,60
0,28
1,31
1,51
3,44
0,24
0,22
0,22
2,42
2,62
6,60
0,32
2,35
4,60
0,32
0,21
2,58
3,62
2,43
2,50
0,20
2,60
2,35
3,48
0,20
0,27
2,51
0,20
0,19
1,29
3,40
4,60
0,35
2,38
0,20
0,52
3,62
0,25
5,60
2,50
0,20
2,40
4,48
2,48
2,45
3,50
0,19
0,70
4,65
1,32
4,60
3,70
3,42
2,37
0,24
3,70
2,50
2,35
4,68
0,27
3,45
0,22
3,55
2,37
2,60
3,62
2,35
5,60
2,65
