rs,age
0,18
1,18
0,19
0,19
0,19
0,20
1,20
1,20
1,20
1,20
1,20
0,20
2,21
1,21
1,21
1,21
0,21
0,21
1,21
1,21
0,21
0,21
0,21
2,22
0,22
0,22
0,22
0,22
1,22
2,22
1,22
0,22
1,22
0,22
2,22
0,23
2,23
0,23
0,23
1,23
0,23
0,23
1,23
1,23
0,23
1,23
0,23
2,23
2,24
0,24
0,24
1,24
2,24
0,24
2,24
2,24
1,24
2,24
0,24
2,24
2,24
0,25
1,25
2,25
3,25
1,25
1,25
2,25
3,25
0,25
1,25
0,25
0,25
0,25
2,25
1,25
0,25
0,25
0,25
2,25
0,25
0,25
0,25
1,26
2,26
2,26
2,26
1,26
1,26
0,26
0,26
2,26
0,26
2,27
0,27
2,27
0,27
2,27
0,27
4,27
1,27
0,27
1,27
0,27
1,27
1,28
2,28
0,28
1,28
3,28
0,28
3,28
3,28
1,28
1,28
1,28
1,28
1,28
2,28
2,28
0,28
0,28
0,29
0,29
2,29
2,29
0,29
0,29
2,29
0,29
0,29
0,29
0,29
0,29
0,29
0,30
3,30
1,30
0,30
2,30
5,30
2,30
1,30
4,30
2,30
0,30
2,30
0,30
0,30
1,30
2,30
1,30
0,30
1,30
1,30
2,30
0,30
1,30
0,30
0,30
0,30
0,30
0,30
0,31
0,31
2,31
0,31
3,31
0,31
1,31
1,32
3,32
0,32
3,32
2,32
0,32
3,32
1,32
2,32
3,32
3,32
4,32
0,32
2,33
1,33
0,33
2,33
1,33
6,33
4,33
2,33
5,33
1,33
1,33
3,33
5,33
5,33
0,33
6,33
1,34
0,34
0,34
2,34
2,34
2,34
5,34
1,34
6,34
5,34
2,34
0,34
0,34
0,34
2,34
1,34
1,34
6,34
4,34
3,34
7,34
4,35
0,35
6,35
1,35
0,35
4,35
1,35
0,35
0,35
2,35
1,35
4,35
0,35
0,35
0,35
1,35
0,35
0,35
3,35
0,35
1,36
1,36
1,36
3,36
0,36
4,36
1,36
0,36
0,36
0,36
1,36
5,36
4,36
0,36
1,37
0,37
5,37
0,37
4,37
4,37
5,37
4,37
0,37
6,38
1,38
1,38
0,38
4,38
3,38
0,38
6,38
0,38
6,38
4,38
4,38
0,38
0,38
3,38
0,38
0,38
0,38
0,38
0,38
4,38
0,39
5,39
1,39
5,39
7,39
0,39
1,39
0,39
0,39
4,39
0,39
3,39
0,39
0,39
1,40
0,40
3,40
3,40
0,40
4,40
6,40
0,40
0,40
0,40
3,40
0,40
0,40
4,40
2,40
1,40
4,40
0,40
2,40
2,40
1,40
2,40
0,40
0,40
0,40
0,40
0,40
1,40
5,41
0,41
5,41
4,41
7,41
3,42
5,42
1,42
0,42
0,42
0,42
0,42
0,42
9,42
0,42
5,42
0,42
3,42
0,42
0,42
0,42
7,42
6,42
5,43
5,43
1,43
2,43
6,43
0,43
5,43
3,43
6,44
0,44
7,44
4,44
9,44
5,44
7,44
0,45
0,45
2,45
0,45
1,45
8,45
3,45
0,45
0,45
0,45
0,45
0,45
1,45
7,45
4,45
5,45
2,45
7,45
0,45
0,45
8,46
6,46
2,46
7,46
9,46
0,46
0,46
5,46
0,46
5,46
3,46
5,46
6,47
1,47
5,47
5,47
8,47
1,47
0,47
0,48
5,48
5,48
6,48
10,48
0,48
0,48
0,48
0,48
0,48
4,48
8,48
1,49
7,49
0,49
0,49
5,49
4,49
0,49
8,50
0,50
7,50
0,50
0,50
0,50
0,50
0,50
1,50
0,50
0,50
0,50
11,50
6,51
6,51
0,51
0,51
6,52
7,52
0,52
0,52
9,52
6,52
7,52
3,52
0,52
5,52
6,53
0,53
9,53
0,53
6,53
6,53
1,53
9,53
7,53
0,53
0,53
2,53
6,53
4,53
4,53
0,53
1,53
10,53
9,54
7,54
8,54
6,54
0,54
5,54
5,54
5,55
0,55
0,55
9,55
3,55
7,55
0,55
0,56
9,56
9,56
0,56
7,56
9,56
0,56
0,56
8,57
8,57
7,57
8,58
7,58
3,58
8,58
7,58
0,58
0,58
4,58
0,58
2,58
0,59
7,59
0,59
9,59
0,59
6,59
7,60
8,60
0,60
0,60
8,60
4,60
8,60
0,60
3,61
1,62
0,62
0,62
7,62
0,62
0,62
4,62
4,62
0,63
6,63
8,63
7,63
0,63
6,63
6,63
6,63
5,64
0,64
0,64
9,64
9,64
1,64
10,64
0,64
0,64
7,64
5,65
0,65
5,65
10,65
0,65
0,65
10,65
0,65
1,65
6,66
7,66
6,66
0,66
9,66
6,66
0,67
0,67
0,67
11,67
7,68
0,68
0,68
5,68
6,68
7,69
0,69
3,70
0,70
2,70
0,70
4,70
0,70
7,70
8,70
0,70
2,70
0,70
7,71
8,72
7,72
11,72
0,72
6,72
7,73
6,73
6,73
10,74
9,74
11,74
0,74
5,74
0,75
0,75
1,75
3,76
5,77
9,77
5,78
0,78
0,79
0,80
5,80
4,80
0,80
9,80
6,81
0,85
9,85
1,86
3,87
8,97
