rs,AgePaper,age
0,40+,60
0,40+,60
0,40+,60
0,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
1,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
2,40+,60
3,40+,60
3,40+,60
3,40+,60
3,40+,60
3,40+,60
3,40+,60
3,40+,60
4,40+,60
4,40+,60
4,40+,60
4,40+,60
4,40+,60
4,40+,60
4,40+,60
5,40+,60
5,40+,60
5,40+,60
5,40+,60
5,40+,60
5,40+,60
6,40+,60
6,40+,60
7,40+,60
7,40+,60
7,40+,60
7,40+,60
7,40+,60
7,40+,60
7,40+,60
9,40+,60
11,40+,60
23,40+,60
