age,rs
27,0
18,0
24,0
24,0
37,0
35,0
24,0
32,0
25,0
20,0
25,0
21,0
24,1
28,1
26,1
20,1
21,1
25,1
23,1
28,1
24,1
18,1
33,1
29,1
21,1
34,1
28,1
24,1
24,1
33,1
24,1
36,1
22,1
25,1
23,1
22,1
28,1
29,1
26,1
38,1
31,1
31,2
26,2
31,2
31,2
45,2
27,2
29,2
29,2
31,2
29,2
36,2
34,2
31,2
29,3
34,3
40,3
27,3
28,3
20,3
25,3
27,3
27,3
34,3
37,3
26,3
32,3
37,3
35,3
40,4
30,4
30,4
31,4
28,4
32,4
28,4
29,4
29,4
38,4
41,4
29,4
35,4
39,5
45,4
43,5
37,5
34,5
42,5
43,5
38,5
41,6
40,6
32,6
36,6
43,6
40,6
30,6
38,6
35,7
38,7
37,7
43,7
45,6
44,7
42,8
33,8
33,8
45,7
30,9
40,9
45,9
44,9
40,10
43,9
37,10
39,10
44,10
39,10
43,11
39,12
