age,rs
20,0
21,0
21,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
23,0
23,0
24,0
24,0
24,0
24,0
24,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
31,0
31,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
34,0
35,0
35,0
37,0
37,0
39,0
41,0
41,0
42,0
43,0
43,0
47,0
53,0
53,0
53,0
55,0
57,0
57,0
59,0
61,0
86,0
18,1
19,1
19,1
20,1
20,1
21,1
21,1
21,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
24,1
24,1
24,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
25,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
28,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
31,1
32,1
33,1
33,1
33,1
33,1
33,1
33,1
34,1
34,1
34,1
34,1
35,1
35,1
36,1
37,1
37,1
37,1
37,1
37,1
38,1
39,1
40,1
41,1
41,1
45,1
46,1
46,1
47,1
47,1
49,1
50,1
52,1
59,1
59,1
60,1
61,1
65,1
66,1
70,1
22,2
22,2
22,2
23,2
23,2
23,2
24,2
24,2
24,2
25,2
25,2
25,2
25,2
25,2
26,2
26,2
26,2
26,2
26,2
26,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
28,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
31,2
31,2
31,2
31,2
31,2
31,2
31,2
32,2
32,2
32,2
32,2
32,2
32,2
33,2
33,2
33,2
33,2
33,2
33,2
33,2
33,2
33,2
33,2
33,2
34,2
34,2
34,2
34,2
34,2
35,2
36,2
36,2
37,2
37,2
37,2
37,2
37,2
37,2
38,2
38,2
38,2
39,2
39,2
39,2
40,2
41,2
42,2
42,2
44,2
45,2
47,2
47,2
47,2
49,2
50,2
51,2
55,2
55,2
56,2
57,2
57,2
57,2
59,2
60,2
65,2
23,3
25,3
25,3
25,3
25,3
25,3
26,3
27,3
27,3
27,3
27,3
27,3
27,3
27,3
27,3
28,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
29,3
30,3
30,3
30,3
30,3
30,3
30,3
30,3
30,3
30,3
31,3
31,3
31,3
31,3
32,3
32,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
33,3
34,3
34,3
34,3
34,3
34,3
35,3
35,3
35,3
35,3
35,3
36,3
36,3
36,3
36,3
37,3
37,3
37,3
37,3
37,3
37,3
37,3
37,3
37,3
38,3
38,3
38,3
39,3
39,3
39,3
39,3
40,3
41,3
41,3
43,3
43,3
43,3
43,3
43,3
43,3
44,3
44,3
44,3
45,3
48,3
48,3
48,3
48,3
49,3
50,3
50,3
50,3
50,3
52,3
55,3
55,3
55,3
57,3
57,3
57,3
59,3
60,3
60,3
65,3
67,3
67,3
72,3
72,3
78,3
82,3
25,4
25,4
26,4
26,4
27,4
27,4
27,4
27,4
27,4
28,4
28,4
29,4
29,4
29,4
30,4
30,4
30,4
30,4
31,4
31,4
31,4
32,4
32,4
32,4
32,4
32,4
32,4
32,4
32,4
32,4
33,4
33,4
33,4
33,4
33,4
33,4
33,4
33,4
33,4
34,4
34,4
34,4
34,4
34,4
34,4
34,4
35,4
35,4
36,4
36,4
36,4
36,4
36,4
37,4
37,4
37,4
37,4
37,4
37,4
37,4
37,4
37,4
38,4
38,4
39,4
39,4
39,4
39,4
40,4
40,4
40,4
41,4
42,4
43,4
43,4
46,4
47,4
48,4
49,4
49,4
49,4
49,4
49,4
49,4
49,4
51,4
51,4
52,4
52,4
53,4
53,4
55,4
57,4
57,4
57,4
59,4
59,4
62,4
64,4
70,4
71,4
71,4
73,4
75,4
28,5
28,5
28,5
30,5
30,5
30,5
30,5
31,5
31,5
31,5
32,5
32,5
33,5
33,5
33,5
34,5
35,5
35,5
35,5
35,5
36,5
36,5
37,5
37,5
37,5
37,5
37,5
37,5
37,5
37,5
37,5
38,5
38,5
39,5
39,5
39,5
39,5
39,5
39,5
39,5
39,5
39,5
39,5
39,5
40,5
40,5
40,5
41,5
41,5
41,5
41,5
41,5
42,5
43,5
43,5
44,5
45,5
45,5
47,5
47,5
47,5
48,5
49,5
49,5
49,5
49,5
50,5
51,5
53,5
55,5
55,5
56,5
61,5
61,5
62,5
63,5
63,5
64,5
64,5
65,5
67,5
67,5
70,5
70,5
70,5
73,5
75,5
83,5
30,6
32,6
33,6
33,6
34,6
35,6
36,6
36,6
37,6
37,6
37,6
37,6
38,6
38,6
38,6
38,6
38,6
39,6
39,6
39,6
39,6
40,6
40,6
40,6
41,6
41,6
42,6
43,6
43,6
43,6
43,6
46,6
47,6
47,6
47,6
48,6
48,6
48,6
49,6
50,6
50,6
51,6
52,6
52,6
52,6
55,6
55,6
55,6
57,6
57,6
57,6
57,6
61,6
61,6
62,6
62,6
63,6
68,6
69,6
69,6
72,6
74,6
75,6
76,6
33,7
37,7
37,7
38,7
39,7
39,7
39,7
40,7
40,7
42,7
43,7
45,7
48,7
48,7
49,7
49,7
49,7
50,7
52,7
52,7
55,7
56,7
57,7
59,7
60,7
61,7
61,7
62,7
62,7
64,7
73,7
79,7
79,7
33,8
37,8
38,8
39,8
39,8
39,8
40,8
41,8
42,8
45,8
45,8
46,8
48,8
51,8
52,8
55,8
55,8
57,8
57,8
58,8
60,8
60,8
61,8
62,8
65,8
65,8
65,8
66,8
43,9
47,9
50,9
50,9
51,9
52,9
53,9
55,9
57,9
63,9
76,9
78,9
38,10
48,10
58,10
61,10
37,11
52,11
59,11
63,11
64,11
49,12
57,12
64,12
88,12
43,14
67,14
