rs,age
0,16
0,17
0,16
0,17
0,15
0,16
0,16
0,15
0,15
0,15
0,15
0,17
0,17
0,16
0,17
0,17
0,16
0,21
0,27
0,16
0,15
0,18
0,19
0,19
0,23
0,18
0,16
0,18
0,18
0,19
0,18
0,19
0,19
0,19
0,18
0,25
2,35
0,23
1,28
0,20
0,31
1,43
0,21
0,28
0,23
0,19
1,28
1,36
5,41
0,27
0,25
0,31
0,22
0,26
0,18
0,23
0,16
0,23
0,19
3,43
0,22
0,23
0,24
0,24
0,20
0,25
0,26
0,23
0,26
1,27
7,42
0,25
1,41
0,39
0,29
1,40
3,37
2,33
1,32
0,32
3,33
0,31
2,31
0,25
0,23
0,18
0,18
0,24
0,23
0,20
1,27
0,22
0,23
0,24
4,38
0,19
0,23
0,20
0,24
0,23
0,18
0,27
1,23
0,15
0,25
0,20
0,21
0,24
1,28
0,21
0,18
0,22
0,20
0,25
0,21
0,18
5,36
1,38
1,39
0,32
1,36
0,33
2,32
0,37
1,30
1,29
1,30
0,26
0,29
1,32
1,30
0,28
3,39
1,44
1,23
0,23
1,29
1,30
2,39
2,35
0,25
0,26
4,38
2,33
0,34
0,26
0,22
4,41
0,20
2,36
0,24
1,26
0,19
0,36
0,24
0,22
1,27
0,19
2,36
0,19
0,32
1,44
0,17
4,33
0,24
3,35
1,33
1,28
0,24
0,15
0,19
0,19
0,35
0,17
1,31
0,27
2,40
1,43
0,31
0,26
1,39
0,22
5,33
2,44
0,18
2,32
0,18
0,37
0,24
1,31
0,29
0,21
1,38
1,38
4,43
1,34
0,33
1,38
0,26
0,19
0,18
0,18
1,26
0,22
0,25
0,27
0,24
0,40
2,37
0,27
3,36
0,32
0,24
0,18
0,27
0,15
1,39
1,43
0,21
0,17
0,41
0,27
2,39
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,16
0,16
0,16
0,16
0,16
0,16
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,16
0,16
0,16
0,16
0,15
0,16
0,18
0,18
0,18
0,17
0,18
0,18
0,18
0,16
0,16
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,20
0,20
0,20
0,20
0,20
0,16
0,20
0,20
0,20
0,24
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,22
0,20
0,22
0,22
0,22
0,23
0,23
0,23
0,18
0,23
0,23
0,23
0,23
0,18
0,23
0,23
0,23
0,23
0,21
0,19
0,24
0,24
0,24
0,24
0,24
1,24
0,24
0,25
0,25
0,25
0,25
1,25
0,25
0,25
0,25
0,25
1,25
0,19
0,20
0,23
0,20
0,28
0,27
0,26
0,27
1,26
0,28
0,27
0,28
0,28
0,22
1,28
0,26
0,22
0,26
0,25
1,27
0,27
0,27
0,27
1,29
0,26
1,28
0,25
2,28
6,39
0,24
2,31
0,32
1,35
0,29
0,18
1,29
3,40
6,39
0,29
0,32
3,39
1,34
2,35
1,32
0,36
1,36
3,36
2,33
0,29
0,26
0,30
2,33
1,30
0,36
1,40
1,37
2,35
2,36
2,39
1,30
1,29
2,42
1,25
0,38
3,40
0,36
3,40
3,35
3,39
0,34
0,39
1,31
0,37
2,40
0,39
0,31
3,40
3,39
0,29
0,32
3,35
6,37
1,35
1,32
4,34
4,40
0,34
5,38
5,38
0,29
1,42
