rs,age
8,85
4,70
3,132
2,60
4,60
9,90
9,112
4,75
7,80
8,85
4,80
8,70
6,106
7,72
5,72
7,110
8,90
5,60
9,90
10,100
7,90
9,70
6,70
1,70
8,73
6,70
6,75
8,90
6,75
4,55
2,50
8,80
7,90
8,85
7,50
4,70
6,40
3,60
4,80
6,65
6,77
7,70
5,100
5,99
7,90
10,70
7,67
8,90
5,102
6,90
11,100
5,70
3,102
4,66
7,87
9,75
9,67
9,100
10,80
5,69
6,66
6,100
8,100
11,100
10,100
13,90
10,80
7,50
12,90
8,90
5,75
4,75
5,60
8,80
7,80
4,62
4,70
4,45
7,90
16,96
6,50
6,70
9,70
7,50
8,90
6,80
6,70
9,60
4,80
4,85
10,95
3,90
8,90
3,60
5,40
3,85
11,60
9,85
9,70
5,76
13,70
5,60
13,97
5,72
9,70
7,75
6,50
11,52
6,85
4,55
10,75
7,95
5,80
6,82
8,80
12,92
10,95
8,95
6,95
11,95
9,95
6,70
8,80
6,70
10,70
6,45
9,60
10,80
5,75
4,45
5,70
6,72
7,70
9,70
7,60
8,80
5,80
2,45
6,90
6,75
4,80
7,50
6,70
8,75
7,90
12,71
7,74
10,75
5,80
8,90
5,40
6,70
6,90
12,60
11,75
8,66
9,80
8,92
8,92
12,92
7,92
7,80
6,85
8,85
7,56
7,50
8,73
6,70
8,80
8,80
4,80
4,70
8,54
6,67
5,63
8,75
12,85
6,70
9,85
9,65
6,90
7,67
7,90
7,90
4,90
8,90
7,90
6,90
6,90
9,90
7,90
4,70
7,60
9,60
7,60
6,80
7,70
4,45
7,70
4,50
6,80
8,70
7,68
6,80
8,70
5,40
7,85
8,60
10,80
8,60
13,60
6,80
2,75
11,80
7,85
9,70
11,70
9,50
7,80
5,68
6,89
5,70
8,85
11,85
9,67
6,72
5,86
6,60
10,88
5,80
6,85
3,50
7,50
7,60
11,80
10,85
8,78
8,78
3,60
9,70
8,78
9,80
8,60
8,85
6,87
7,87
11,80
9,60
7,85
5,65
6,55
5,67
7,66
3,70
7,70
6,85
9,72
9,85
2,77
6,70
8,85
9,85
10,85
6,85
8,85
7,85
7,85
9,85
8,85
10,85
4,85
8,85
6,85
9,85
7,85
8,85
4,85
6,85
6,85
5,85
9,85
8,80
4,80
0,70
9,70
3,70
2,65
8,70
11,63
5,55
4,50
8,60
4,70
5,70
6,70
8,70
11,70
6,76
9,71
4,35
5,45
4,65
9,69
5,50
11,60
9,70
5,55
6,70
7,84
5,70
5,80
7,76
6,80
7,70
4,45
7,55
9,65
3,76
8,75
9,75
6,75
6,80
7,50
8,80
5,58
10,75
8,75
4,70
8,76
6,82
7,82
5,82
8,82
11,80
8,60
5,80
8,75
5,60
8,54
4,45
8,75
4,60
9,70
6,70
7,70
4,48
10,75
6,65
8,40
9,60
11,70
4,55
4,81
6,80
5,75
9,80
7,80
6,65
5,80
5,80
8,80
4,80
9,80
9,80
13,80
8,80
5,80
8,80
5,80
4,80
6,80
3,80
4,80
5,80
7,80
7,80
2,80
7,80
6,80
6,80
6,80
8,80
10,80
9,80
9,80
9,80
10,80
10,80
9,80
9,80
6,80
8,80
9,80
9,80
7,80
10,80
6,80
7,65
8,50
14,70
7,60
8,60
4,70
7,60
6,70
4,70
9,70
7,70
12,73
6,70
7,77
9,75
5,58
7,75
8,55
3,55
4,50
10,70
9,79
3,70
5,50
3,70
4,60
6,70
7,40
6,79
4,70
8,75
3,76
5,67
1,51
7,75
7,60
7,66
8,71
7,69
5,78
3,63
9,75
10,75
4,59
6,78
7,78
7,78
4,78
1,78
8,78
8,78
6,78
5,78
10,78
6,78
6,60
6,60
6,65
13,75
6,45
4,65
10,70
10,60
9,60
6,70
7,75
6,77
5,49
8,60
5,74
5,70
6,56
7,70
7,70
2,65
4,68
9,62
7,55
7,40
5,72
7,57
6,54
6,67
8,76
9,76
6,76
3,76
6,76
8,50
7,59
5,70
3,45
6,66
6,55
6,72
8,70
6,60
8,60
8,68
7,48
9,75
4,75
8,75
8,75
5,75
5,75
8,75
4,75
6,75
5,75
6,75
8,75
8,75
6,75
6,75
5,75
5,75
7,75
8,75
5,75
12,75
5,75
7,75
6,75
6,75
4,75
11,75
6,75
3,75
5,75
5,75
8,75
6,75
4,75
6,75
7,75
8,75
6,75
9,75
11,75
7,75
5,75
6,75
5,75
7,75
8,75
5,75
10,75
10,75
5,75
3,30
4,45
7,63
6,50
7,50
0,30
6,72
6,65
9,65
6,60
4,67
9,60
5,70
6,65
6,50
6,60
