age,rs
53,6
38,0
26,1
17,0
28,0
29,4
42,3
40,2
33,1
38,2
40,6
45,3
28,0
40,0
19,0
38,0
35,2
30,5
25,0
22,0
22,0
58,5
46,6
41,1
38,2
49,0
42,0
47,2
19,0
60,0
38,0
27,0
30,5
18,0
46,1
16,0
19,1
51,4
26,1
55,7
35,0
27,5
44,3
40,0
39,2
38,0
34,1
34,1
35,0
26,1
50,3
21,1
40,6
43,0
54,0
45,2
18,1
47,3
34,3
45,0
37,2
22,2
16,0
26,0
41,4
63,1
24,3
53,0
75,12
56,6
26,1
21,0
20,0
48,0
45,1
28,2
26,0
50,6
47,11
18,0
17,0
20,0
26,0
40,5
49,1
46,1
33,1
26,2
38,0
20,0
26,0
49,9
19,0
50,0
49,0
45,0
21,0
56,6
36,3
30,3
28,0
25,0
18,0
28,0
28,0
55,4
18,0
32,0
30,3
28,0
20,0
15,0
15,0
15,0
15,0
