age,rs
28,2
28,3
28,0
28,2
28,2
29,1
29,3
29,2
30,2
30,1
30,1
30,0
31,2
31,1
31,1
31,2
32,1
32,2
32,0
32,1
32,2
32,3
33,2
33,1
33,1
33,1
33,2
33,2
34,4
34,4
34,3
34,5
35,2
35,5
35,1
35,6
35,1
35,2
35,3
35,0
36,2
36,4
36,0
36,1
36,2
36,5
36,2
36,1
36,6
36,5
37,6
37,1
37,4
37,6
37,1
37,3
37,0
37,2
38,3
38,3
38,1
38,1
38,4
38,2
38,2
38,2
38,1
38,2
38,6
38,4
38,2
38,2
38,3
39,4
39,2
39,6
39,1
40,3
40,3
40,1
40,1
40,2
40,2
40,4
41,1
41,3
41,1
42,2
42,2
42,1
42,1
42,4
42,1
42,4
42,5
42,2
42,2
42,0
42,4
42,5
43,3
43,9
43,9
43,1
43,4
43,2
43,6
43,4
43,3
44,1
44,8
44,3
44,2
45,3
45,2
45,2
45,4
45,5
45,3
46,4
46,3
46,2
46,4
46,2
46,4
46,2
47,2
47,1
47,4
47,5
47,3
47,5
48,10
48,0
48,9
48,3
48,4
49,2
49,2
49,2
49,3
49,9
49,7
49,3
50,9
50,5
50,4
50,7
50,2
50,7
50,6
50,5
51,10
51,5
51,7
51,7
51,3
52,2
52,6
52,5
52,13
52,6
53,7
53,8
53,4
54,13
54,5
55,2
55,17
55,2
55,12
55,3
55,4
56,6
57,0
57,4
57,1
57,7
57,3
58,4
59,4
59,5
59,10
59,4
59,3
59,8
59,4
60,5
60,4
60,10
60,6
61,12
61,14
62,4
62,9
62,4
62,1
62,2
62,2
62,6
62,6
62,3
62,4
63,11
63,3
63,5
63,4
64,3
67,6
67,8
67,10
67,4
68,0
69,2
69,5
70,4
72,2
72,2
72,11
73,6
74,12
74,4
75,1
75,11
77,10
78,3
80,1
80,5
80,5
81,6
90,4
