rs,age
0,13
3,26
4,27
4,27
2,28
3,28
0,14
4,30
5,30
0,30
3,31
8,32
0,14
3,32
7,33
6,33
6,33
6,33
6,36
0,14
6,37
6,38
9,38
6,39
5,39
5,40
7,42
9,44
8,44
7,45
10,45
12,49
10,50
1,50
11,52
6,52
8,57
16,59
11,59
4,59
12,60
4,63
10,64
9,73
0,14
0,14
0,13
0,14
0,15
0,15
0,15
0,15
0,16
0,16
0,16
0,17
0,17
0,18
0,13
0,18
0,18
0,19
0,19
0,20
0,20
1,21
0,13
0,21
0,21
2,21
0,21
1,21
0,22
0,22
1,22
0,22
1,23
0,23
0,23
2,23
1,24
0,24
1,24
3,25
4,25
