rs,age
0,36
0,42
1,44
0,44
0,45
0,48
0,48
2,49
0,53
0,54
0,54
2,54
1,58
0,60
0,61
0,62
0,68
1,74
1,86
0,91
0,27
0,29
0,31
0,43
0,43
1,46
0,49
0,54
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,21
0,22
0,22
0,22
0,22
0,22
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,23
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,25
0,25
0,25
0,25
0,25
0,25
0,25
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,31
0,31
0,31
0,31
0,31
0,31
0,31
0,31
0,31
0,31
0,31
0,32
0,32
0,32
0,32
0,32
0,32
0,33
0,33
0,33
0,33
0,33
0,33
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
2,34
0,34
0,35
0,35
0,35
0,35
0,35
0,35
0,35
0,35
0,36
0,36
0,36
0,36
0,37
0,37
0,37
0,37
0,38
0,38
0,38
0,38
0,38
0,39
0,39
0,39
0,39
0,39
0,39
0,40
0,40
0,40
0,40
0,40
0,40
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,42
0,42
0,43
0,43
0,43
0,43
0,43
0,43
0,44
0,45
0,45
0,45
0,46
0,46
0,46
0,46
0,46
0,46
0,47
0,47
0,47
0,48
0,48
0,49
0,49
0,49
0,49
0,51
0,51
0,55
0,57
0,59
0,59
0,61
0,61
0,62
0,62
0,63
0,63
0,65
0,65
0,66
0,69
0,69
0,71
0,75
0,79
2,32
2,45
0,54
4,58
6,62
2,70
1,45
2,47
0,48
3,49
1,53
1,55
5,64
0,34
2,51
3,53
3,63
0,38
2,45
0,46
1,48
2,49
2,50
3,66
8,73
2,75
5,81
1,21
1,24
0,47
0,47
2,49
2,49
3,54
4,71
2,32
0,36
0,39
2,43
0,44
0,45
0,48
2,49
2,50
0,51
0,53
2,53
2,56
0,61
4,62
3,62
4,64
4,70
2,25
1,28
2,29
0,32
0,39
2,39
2,40
0,40
0,41
2,42
1,42
2,44
0,45
2,46
1,47
1,48
2,53
2,53
2,56
2,58
3,60
1,26
1,29
0,29
2,31
1,31
0,31
0,32
0,33
1,33
0,34
2,35
0,36
2,38
0,39
1,39
0,42
2,42
0,44
0,46
0,46
2,47
0,47
2,48
3,50
2,50
0,51
2,52
2,53
2,53
2,54
2,55
4,60
2,62
3,62
3,63
0,64
3,70
4,71
3,74
2,74
1,27
2,37
2,38
0,38
2,39
0,40
1,41
0,43
2,44
2,45
2,48
0,51
0,51
0,51
2,51
2,53
3,54
1,54
1,59
3,62
3,63
4,63
3,63
3,64
4,65
3,66
4,68
4,68
0,69
0,69
4,70
2,72
6,85
1,28
0,30
0,35
0,36
2,38
2,38
1,40
2,43
0,49
0,51
3,53
1,54
2,56
3,58
0,58
3,59
3,60
2,60
3,61
4,63
3,66
1,29
1,30
1,31
1,31
0,32
1,32
1,34
2,35
0,35
0,37
1,38
2,41
0,43
1,45
2,48
3,50
2,51
2,54
2,55
1,55
2,55
2,57
2,60
2,62
3,65
3,65
2,70
2,73
2,33
1,34
1,34
1,36
2,38
0,39
2,40
2,43
2,44
2,48
3,49
2,51
2,59
0,59
2,60
3,67
5,73
4,73
1,30
1,30
1,32
0,33
1,34
2,38
2,40
1,48
1,48
2,52
0,55
0,55
2,60
3,64
1,31
2,40
1,42
2,49
1,51
2,53
2,59
0,60
3,60
2,63
3,64
1,32
1,34
0,34
2,35
1,36
1,36
1,38
0,38
0,40
1,44
2,61
2,61
1,33
1,33
0,33
0,34
1,35
0,37
0,40
1,40
0,48
0,50
2,51
1,52
3,64
2,64
0,64
2,76
0,32
0,33
1,36
0,39
0,40
2,47
1,47
0,50
1,50
3,65
2,69
3,82
0,37
1,38
1,42
1,43
1,43
0,53
3,77
0,39
2,42
2,53
2,66
0,37
1,37
1,44
0,45
0,39
0,42
0,42
0,42
0,50
1,53
2,70
0,41
2,42
1,45
0,55
2,44
0,45
1,48
0,47
