age,rs
13,0
13,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,1
17,0
17,1
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
18,2
18,0
18,1
18,0
18,0
18,0
18,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,1
19,0
19,0
19,0
19,0
20,0
20,0
20,0
20,0
20,0
20,1
20,0
20,0
20,0
20,0
20,0
21,0
21,1
21,0
21,0
21,0
21,3
21,1
21,0
21,0
21,1
21,0
21,2
21,0
21,1
21,0
21,2
21,0
21,1
22,0
22,2
22,0
22,0
22,0
22,1
22,3
22,0
22,1
22,2
22,0
22,0
22,3
23,0
23,2
23,0
23,0
23,2
23,2
23,1
23,1
23,3
23,0
24,0
24,0
24,0
24,2
24,4
24,4
24,0
25,0
25,3
25,0
25,3
25,3
25,4
25,3
25,3
25,3
25,0
25,1
25,0
26,2
26,4
26,0
26,0
26,1
27,2
27,0
27,0
27,0
27,0
27,0
27,4
27,0
27,4
27,0
27,4
27,7
27,5
28,0
28,0
28,2
28,5
28,4
28,5
29,2
29,3
29,4
29,3
29,2
29,0
29,1
30,2
30,4
30,3
30,5
30,2
30,3
31,2
31,0
32,4
32,0
32,0
32,2
32,4
32,4
32,0
32,0
33,4
33,0
33,2
33,0
33,4
33,3
33,4
33,1
33,0
34,3
34,6
34,2
34,0
34,10
34,4
35,1
35,6
35,4
35,3
35,8
35,4
35,3
35,4
35,4
35,0
35,8
35,4
36,6
36,3
36,5
36,6
36,6
36,6
37,6
37,0
37,4
37,3
38,1
38,6
39,6
39,6
41,9
41,7
41,9
41,3
41,7
41,8
41,1
42,2
42,6
42,8
42,10
42,7
42,6
42,1
43,8
43,10
43,9
43,6
43,4
44,5
44,7
44,10
45,8
45,2
45,10
45,4
45,0
46,1
46,8
47,2
47,4
47,8
48,5
48,9
48,6
50,0
50,3
50,10
50,6
50,0
50,3
51,10
51,9
51,7
51,9
51,8
51,4
52,0
52,3
52,6
52,12
52,3
52,9
52,10
52,4
52,9
53,10
53,11
53,7
54,7
54,4
55,10
55,4
56,6
56,1
56,5
57,5
60,6
60,3
61,5
61,4
61,5
62,5
62,10
62,2
64,8
64,6
64,1
64,6
65,2
66,4
66,0
67,5
67,6
68,12
68,8
68,4
69,4
69,7
69,8
69,7
70,4
71,2
82,1
