age,rs
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
25,1
25,0
25,0
25,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
26,0
27,1
27,0
27,1
27,1
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,3
28,0
28,2
28,0
28,1
29,2
29,0
29,0
29,0
29,1
29,0
29,0
29,0
30,0
30,0
30,0
30,1
30,2
30,2
30,0
31,3
31,0
31,1
31,0
31,0
31,0
32,0
32,0
32,3
32,0
32,0
33,0
33,1
33,1
33,2
33,0
33,2
33,2
34,1
34,0
34,1
34,0
34,0
34,0
34,0
34,3
34,0
34,0
34,4
35,0
35,1
35,0
35,3
35,0
36,4
36,5
36,1
36,2
36,1
36,0
36,1
36,1
37,4
37,4
37,2
37,1
37,2
37,1
37,2
37,0
37,0
37,0
37,0
38,2
38,0
38,4
38,1
38,0
38,3
38,0
39,4
39,0
39,0
39,2
39,5
39,0
39,0
39,4
39,0
39,0
39,0
40,5
40,2
40,5
40,0
40,6
40,0
40,3
40,0
40,7
41,0
41,3
41,3
41,3
41,6
41,0
41,3
41,2
41,0
41,0
41,1
42,0
42,0
42,0
42,4
42,3
43,2
43,0
43,0
43,0
43,0
44,1
44,6
44,0
44,7
44,5
44,5
45,0
45,0
45,2
46,3
46,0
46,0
47,5
47,0
47,3
47,2
47,0
48,0
48,0
48,1
48,1
48,2
48,4
48,0
49,6
49,1
50,1
50,3
50,8
51,0
51,0
51,4
51,2
52,2
52,0
52,3
52,5
52,9
52,4
52,3
52,3
52,4
53,1
53,1
53,0
53,1
53,7
53,0
53,1
53,5
53,10
53,7
53,0
54,1
54,0
54,9
54,0
54,0
55,8
55,2
56,2
57,9
57,7
57,7
58,1
58,0
58,5
58,2
59,3
59,0
59,1
59,4
59,2
60,5
60,8
60,1
61,7
61,2
62,5
62,2
62,7
62,4
63,2
63,0
64,9
65,0
65,1
65,3
65,6
67,2
67,3
67,3
68,3
68,6
69,5
72,2
72,8
72,0
72,9
74,1
75,0
75,5
77,5
77,6
77,5
78,8
79,9
82,2
82,4
82,1
87,0
