age,rs
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
24,0
24,0
24,0
25,2
25,0
25,0
25,0
25,0
26,1
26,0
26,1
26,0
27,1
27,1
27,1
28,2
28,1
29,0
30,1
30,0
31,5
31,2
32,1
32,0
32,0
33,3
33,0
34,0
34,0
34,0
36,2
36,0
37,3
37,0
37,3
37,2
38,1
38,2
38,2
39,0
40,1
40,5
40,2
40,0
40,0
40,1
41,1
41,0
41,2
41,0
41,1
42,3
43,0
43,0
43,0
44,7
46,10
46,2
47,3
47,0
49,2
49,5
50,5
50,0
50,2
50,6
51,5
51,0
52,2
53,0
53,3
54,2
56,4
57,0
59,6
62,6
64,4
65,0
66,3
69,4
70,4
70,2
73,4
85,4
