age,rs
20,0
20,0
20,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
22,0
23,1
23,0
23,0
24,0
24,0
24,0
25,0
25,0
25,0
26,0
26,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
29,0
29,0
31,0
32,0
32,1
32,0
33,0
33,0
34,0
34,0
34,2
34,0
34,1
34,0
35,0
36,0
36,1
36,2
38,2
39,2
40,0
40,0
41,0
41,2
42,2
42,0
43,2
43,2
44,2
45,4
45,6
45,2
46,2
47,3
48,6
50,7
51,6
52,3
52,5
53,5
55,4
56,1
57,6
57,0
57,0
66,5
70,2
70,1
77,4
81,2
83,5
89,2
92,3
