rs,time
4,12.79432702
2,7.444420107
5,13.70605629
3,6.324608477
5,11.43407075
7,19.8833096
6,17.88188588
4,12.60316504
5,13.52037017
2,8.22199102
4,15.83068667
4,13.83200088
1,5.185631366
4,15.90461067
4,16.32625123
3,13.67046326
8,15.88320009
3,9.906308181
4,13.77773519
6,13.88177637
1,6.585204249
4,13.747618
5,13.66821816
3,10.38818311
1,1.355766072
2,11.00098565
4,11.00098565
5,11.00098565
3,10.83123426
4,11.00098565
3,11.00098565
0,6.732559413
2,5.755119921
5,11.00098565
3,8.258076881
4,10.23212134
5,9.857025517
3,7.488719746
1,8.882323951
2,8.882323951
4,8.671503669
3,7.896670682
1,2.0073924
1,3.034114555
4,7.631091885
3,6.667342022
5,7.584547147
3,6.88090023
2,5.94726755
2,6.081425912
2,5.911674515
3,5.881557332
3,5.700854233
3,5.665261198
2,5.563957945
2,4.685083781
0,4.583780528
2,4.545449567
2,4.492936152
2,4.492936152
2,4.145712408
1,3.882871537
2,3.882871537
2,3.814423393
2,3.797995838
1,3.179224619
2,3.724071843
2,3.335286387
1,3.162797065
1,2.984831891
1,2.96019056
1,2.943763005
1,2.845197678
1,2.694611762
1,2.32225386
0,2.267495346
1,2.209998905
1,1.993702771
0,1.881447815
0,1.821213449
0,1.667889607
1,1.656937904
1,1.232559413
1,1.035428759
0,0.999835724
0,0.884842843
1,0.879366992
0,0.78353959
0,0.01144453
0,0.003230752
