time,rs
21.89,4
13.44,2
1.95,0
1.01,0
10.3,3
4.28,1
26.25,4
1.37,0
15.48,3
10.86,1
17.88,3
1.64,0
9.89,1
34.17,7
9.27,1
20.73,6
8.82,1
27.38,0
6.86,0
3.41,1
3.41,0
31.06,7
17.49,0
7.07,0
8.61,0
8.74,1
28.34,1
4.15,0
6.85,0
0.75,0
12.87,1
15.87,1
14.88,2
7.46,1
12.1,1
11.3,2
18.9,4
7.71,0
23.18,3
1.73,1
13.19,0
22.14,3
11.36,1
9.49,1
5.58,0
0.56,0
34.55,5
17.49,2
5.97,1
17.16,3
4.44,0
3.43,0
28.12,4
10.66,1
13.32,0
1.61,0
20.18,2
3.78,1
21.7,0
42.24,5
12.68,0
12.64,2
10.07,1
22.93,3
1.78,0
7.44,0
5.03,1
17.86,3
10.22,1
