rs,time
0,32.27
0,6
0,45.53
0,16.47
0,2.07
0,2.03
0,24.5
0,55.3
0,15.53
0,10.7
0,41.4
0,31.1
0,59.5
0,33.43
0,9.97
0,58.37
0,28.47
0,49.13
0,0.03
0,45.3
0,55.87
0,23.2
0,90.2
0,25.67
0,34.17
0,32.7
0,45.43
0,33.3
0,47.27
0,55.87
0,83.03
0,46.2
0,38.07
0,40.6
0,69.43
0,32.97
0,30.87
0,29.43
0,30.5
0,33.6
0,45.8
0,45.97
0,44.13
0,62.77
0,44.47
0,44.07
0,33.07
0,38.07
0,35.17
0,40.93
0,33.4
0,35.23
0,55.93
0,42.7
0,30.63
0,35.13
0,41.47
0,51.9
0,40.63
1,48.37
1,34.57
1,49.77
1,27.1
1,38.33
1,43.77
1,24.87
2,52.67
2,16.57
2,70.07
3,68.3
3,78.5
3,53.57
5,46.4
5,34.57
5,72.03
6,44.47
6,27
7,75.63
15,104.23
