rs,time
12,2671
1,2780
0,21
0,285
0,444
0,387
0,548
0,7
0,569
1,707
6,2805
0,1026
6,1922
3,1537
4,1985
0,1361
0,13
0,456
0,1285
9,2806
4,1942
6,3665
7,3556.52
10,5107.52
0,1715
8,2810
9,1779
3,2713
0,1896
0,228
7,2851
0,1890
8,3419
0,2610
0,33
0,348
0,355
0,1847
0,2110
0,3027
0,737
2,737
0,208
1,1934
12,3389
7,3485
0,518
0,1376
0,319
0,567
2,2078
1,757
0,773
0,1657
8,3028
0,225
0,379
0,474
10,4210
0,1924
0,563
0,1130
2,2041
0,646
1,1533
1,2753
11,4845
0,376
0,535
0,605
0,1173
1,2429
7,2878
0,1
0,788
1,987
7,1930
0,73
0,839
