Common,Species,Sex,Human,AdultSampleDefinition,RSDefinition,MatingSystem,Monogamous,NonHumanPrimate,N,K,Mean,B,SD,Var,CV,I,Source,Ref,File
european badger,Meles meles,M,0,NA,NA,Polygynandrous,0,0,25,595,23.8,0.178,NA,NA,NA,NA,NA,"Dugdale, H. L., Macdonald, D. W., Pope, L. C., Johnson, P. J., & Burke, T. (2008). Reproductive skew and relatedness in social groups of European badgers, Meles meles. Molecular Ecology, 17(7), 1815-1827.",NA
red deer,Cervus elaphus,M,0,Hypothetical cohort assuming zero pop. Growth,independence,Polygynous,0,0,47,94,2,NA,5.556038626,30.86956522,2.778019313,7.717391304,Lukas et al. 2014,Slate et al. 2002,rspb20140418supp2
red wolf,Canis rufus,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Monogamous,1,0,82,165,2.012195122,NA,3.636216669,13.22207167,1.807089496,3.265572447,Lukas et al. 2014,Sparkman et al. 2011,rspb20140418supp2
savannah baboon,Papio cynocephalus,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Polygynandrous,0,1,102,205,2.009803922,NA,3.074955036,9.455348476,1.529977628,2.340831542,Lukas et al. 2014,Alberts et al. 2006,rspb20140418supp2
african lion,Panthera leo,M,0,Hypothetical cohort assuming zero pop. Growth,independence,Polygynous,0,0,12,24,2,NA,3.045115314,9.272727273,1.522557657,2.318181818,Lukas et al. 2014,Gilbert et al. 1991,rspb20140418supp2
sifaka,Propithecus verreauxi,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Polygynous,0,1,38,76,2,NA,1.643989873,2.702702703,0.821994937,0.675675676,Lukas et al. 2014,Lawler 2007,rspb20140418supp2
common chimpanzee,Pan troglodytes,M,0,Hypothetical cohort assuming zero pop. Growth,independence,Polygynandrous,0,1,13,26,2,NA,3.488074923,12.16666667,1.744037461,3.041666667,Lukas et al. 2014,Schubert et al. 2013,rspb20140418supp2
california mouse,Peromyscus californicus,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Monogamous,1,0,44,89,2.022727273,NA,3.351422026,11.2320296,1.6568828,2.745260611,Lukas et al. 2014,"Ribble, David O. ""Lifetime reproductive success and its correlates in the monogamous rodent, Peromyscus californicus.""_Journal of Animal Ecology(1992): 457-468.",rspb20140418supp2
european badger,Meles meles,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Polygynandrous,0,0,120,240,2,NA,2.863857656,8.201680672,1.431928828,2.050420168,Lukas et al. 2014,Dugdale et al. 2010,rspb20140418supp2
bighorn sheep,Ovis canadensis,M,0,adults,LRS,Polygynous,0,0,148,149.48,1.01,NA,2.88,8.2944,2.851485149,8.130967552,Coltman,Coltman,
barbary macaque,Macaca sylvanus,M,0,Hypothetical cohort assuming zero pop. Growth,weaned,Polygynandrous,0,1,62,124,2,NA,3.688706735,13.60655738,1.844353368,3.401639344,Lukas et al. 2014,Kuester et al. 1995,rspb20140418supp2
wild horse,Equus caballus,M,0,NA,Lifetime total young born,Polygynous,0,0,43,NA,4.92,NA,4.982971001,24.83,1.012798984,1.025761782,"Rubenstein, DANIEL I., and CASSANDRA M. Nu_ez. ""Sociality and reproductive skew in horses and zebras.""_Reproductive skew in vertebrates: proximate and ultimate causes. Cambridge University Press, Cambridge(2009): 196-226.","Rubenstein, DANIEL I., and CASSANDRA M. Nu_ez. ""Sociality and reproductive skew in horses and zebras.""_Reproductive skew in vertebrates: proximate and ultimate causes. Cambridge University Press, Cambridge(2009): 196-226.",NA
plains zebra,Equus quagga,M,0,NA,Lifetime total young born,Polygynous,0,0,NA,NA,2.34,NA,1.438749457,2.07,0.614850195,0.378040763,"Rubenstein, DANIEL I., and CASSANDRA M. Nu_ez. ""Sociality and reproductive skew in horses and zebras.""_Reproductive skew in vertebrates: proximate and ultimate causes. Cambridge University Press, Cambridge(2009): 196-226.","Rubenstein, DANIEL I., and CASSANDRA M. Nu_ez. ""Sociality and reproductive skew in horses and zebras.""_Reproductive skew in vertebrates: proximate and ultimate causes. Cambridge University Press, Cambridge(2009): 196-226.",NA
collared peccary,Pecari tajacu,M,0,adults,genotyped offspring with parentage (<50% of all offspring),Polygynandrous,0,0,6,7,1.166666667,0.14,NA,NA,NA,NA,NA,"Cooper, Jennifer D., Peter M. Waser, Eric C. Hellgren, Timothy M. Gabor, and J. A. DeWoody. ""Is sexual monomorphism a predictor of polygynandry? Evidence from a social mammal, the collared peccary.""_Behavioral ecology and sociobiology_65, no. 4 (2011): 775-785.",NA
harbour seal,Phoca vitulina,M,0,Genotyped adults,genotyped offspring,Polygynous,0,0,70,175,2.5,NA,2.34520788,5.5,0.938083152,0.88,"Hayes, Sean A., Devon E. Pearse, Daniel P. Costa, James T. Harvey, Burney J. Le Boeuf, and John Carlos Garza. ""Mating system and reproductive success in eastern Pacific harbour seals.""_Molecular Ecology15, no. 10 (2006): 3023-3034.","Hayes, Sean A., Devon E. Pearse, Daniel P. Costa, James T. Harvey, Burney J. Le Boeuf, and John Carlos Garza. ""Mating system and reproductive success in eastern Pacific harbour seals.""_Molecular Ecology15, no. 10 (2006): 3023-3034.",NA
collared peccary,Pecari tajacu,M,0,adults,genotyped offspring with parentage (<50% of all offspring),Polygynandrous,0,0,6,7,1.166666667,-0.06,NA,NA,NA,NA,NA,"Cooper, Jennifer D., Peter M. Waser, Eric C. Hellgren, Timothy M. Gabor, and J. A. DeWoody. ""Is sexual monomorphism a predictor of polygynandry? Evidence from a social mammal, the collared peccary.""_Behavioral ecology and sociobiology_65, no. 4 (2011): 775-785.",NA
collared peccary,Pecari tajacu,M,0,adults,genotyped offspring with parentage (<50% of all offspring),Polygynandrous,0,0,3,6,2,-0.06,NA,NA,NA,NA,NA,"Cooper, Jennifer D., Peter M. Waser, Eric C. Hellgren, Timothy M. Gabor, and J. A. DeWoody. ""Is sexual monomorphism a predictor of polygynandry? Evidence from a social mammal, the collared peccary.""_Behavioral ecology and sociobiology_65, no. 4 (2011): 775-785.",NA
collared peccary,Pecari tajacu,M,0,adults,genotyped offspring with parentage (<50% of all offspring),Polygynandrous,0,0,3,4,1.333333333,0.13,NA,NA,NA,NA,NA,"Cooper, Jennifer D., Peter M. Waser, Eric C. Hellgren, Timothy M. Gabor, and J. A. DeWoody. ""Is sexual monomorphism a predictor of polygynandry? Evidence from a social mammal, the collared peccary.""_Behavioral ecology and sociobiology_65, no. 4 (2011): 775-785.",NA
collared peccary,Pecari tajacu,M,0,adults,genotyped offspring with parentage (<50% of all offspring),Polygynandrous,0,0,5,2,0.4,-0.1,NA,NA,NA,NA,NA,"Cooper, Jennifer D., Peter M. Waser, Eric C. Hellgren, Timothy M. Gabor, and J. A. DeWoody. ""Is sexual monomorphism a predictor of polygynandry? Evidence from a social mammal, the collared peccary.""_Behavioral ecology and sociobiology_65, no. 4 (2011): 775-785.",NA
elephant seal,Mirounga angustirostris,M,0,Males that reached age 5 (breeding age),weaned offspring,Polygynous,0,0,21,62.2804,2.95,NA,13.74008734,188.79,18.32011645,21.77,Claire,"Clutton-Brock, T., ed. 1988._Reproductive Success: Studies of Individual Variation in Contrasting Breeding Systems_. Chicago: University of Chicago Press.",NA
lar gibbon,Hylobates lar,M,0,Hypothetical cohort assuming zero pop. Growth,independence,Monogamous,1,1,19,38,2,NA,1.55597321,2.421052632,0.777986605,0.605263158,Lukas et al. 2014,Barelli et al. 2013,rspb20140418supp2
