Common,Species,Sex,MatingSystem,Monogamous,NonHumanPrimate,Human,AdultSampleDefinition,RSDefinition,N,K,Mean,B,SD,Var,CV,I,Source,Ref,File
cheetah,Acinonyx jubatus,F,Polygynandrous,0,0,0,NA,LRS,108,183.6,1.7,NA,2.324715036,5.4043,1.367479433,1.87,"Robbins, Andrew M., Tara Stoinski, Katie Fawcett, and Martha M. Robbins. ""Lifetime reproductive success of female mountain gorillas.""_American journal of physical anthropology_146, no. 4 (2011): 582-593.",Kelly et al. 1998,NA
subantarctic fur seal,Arctocephalus tropicalis,F,Polygynous,0,0,0,NA,LRS,126,252,2,NA,2.163330765,4.68,1.081665383,1.17,"Robbins, Andrew M., Tara Stoinski, Katie Fawcett, and Martha M. Robbins. ""Lifetime reproductive success of female mountain gorillas.""_American journal of physical anthropology_146, no. 4 (2011): 582-593.",Beauplet & Guinet 2007,NA
vervet monkey,Chlorocebus aethiops,F,Polygynandrous,0,1,0,NA,LRS,31,,1.7,NA,1.482025641,2.1964,0.871779789,0.76,"Robbins, Andrew M., Tara Stoinski, Katie Fawcett, and Martha M. Robbins. ""Lifetime reproductive success of female mountain gorillas.""_American journal of physical anthropology_146, no. 4 (2011): 582-593.",Cheney et al. 1988,NA
rhesus macaque,Macaca mulatta,F,Polygynandrous,0,1,0,NA,LRS,208,1227.2,5.9,NA,4.044836214,16.3607,0.68556546,0.47,"Robbins, Andrew M., Tara Stoinski, Katie Fawcett, and Martha M. Robbins. ""Lifetime reproductive success of female mountain gorillas.""_American journal of physical anthropology_146, no. 4 (2011): 582-593.",Blomquist 2009,NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,3,12,4,-0.042,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,8,31,3.875,-0.002,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,8,13,1.625,0.051,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,3,12,4,0.111,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,3,9,3,0.148,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,3,14,4.666666667,0.129,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
yellow-bellied marmot,Marmota flaviventris,F,Polygynous,0,0,0,NA,NA,7,12,1.714285714,0.216,NA,NA,NA,NA,NA,"Wang, T.B., Nonacs, P., & Blumstein, D. T. 2009. Social skew as a measure of the costs and benefits of group living in marmots. In: Reproductive skew in vertebrates: proximate and ultimate causes (Eds, Hager, R., & Jones, C. B.). Cambridge University Press, Pages 114-133",NA
european badger,Meles meles,F,Polygynandrous,0,0,0,NA,LRS,124,186,1.5,NA,2.214723459,4.905,1.476482306,2.18,"Robbins, Andrew M., Tara Stoinski, Katie Fawcett, and Martha M. Robbins. ""Lifetime reproductive success of female mountain gorillas.""_American journal of physical anthropology_146, no. 4 (2011): 582-593.",Dugdale et al. 2010,NA
elephant seal,Mirounga angustirostris,F,Polygynous,0,0,0,NA,LRS,204,163.2,0.8,NA,1.82953546,3.3472,2.286919325,5.23,"Robbins, Andrew M., Tara Stoinski, Katie Fawcett, and Martha M. Robbins. ""Lifetime reproductive success of female mountain gorillas.""_American journal of physical anthropology_146, no. 4 (2011): 582-593.",Le Boeuf & Reiter 1988,NA
