Common,Species,MatingSystem,Monogamous,NonHumanPrimate,N,K,Mean,B,SD,Var,CV,I,Sex,Human,AdultSampleDefinition,RSDefinition,Source,Ref,File
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,16,16,1,0.0837,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,31,21.35555556,0.688888889,0.046,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,23,18.2413793,0.793103448,0.067,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,31,20.89130433,0.673913043,0.051,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,30,30,1,0.094,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,35,19.75806452,0.564516129,0.089,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
rhesus macaque,Macaca mulatta,Polygynandrous,0,1,36,24.00000001,0.666666667,0.107,NA,NA,NA,NA,M,0,NA,NA,NA,"Dubuc, C., Muniz, L., Heistermann, M., Engelhardt, A., & Widdig, A. (2011). Testing the priority-of-access model in a seasonally breeding primate species. Behavioral ecology and sociobiology, 65(8), 1615-1627.",NA
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,12,28,2.4,NA,0.818535277,0.67,0.341056365,0.116319444,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,19,42,2.21,NA,0.818535277,0.67,0.370377953,0.137179828,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,24,52,2.17,NA,0.818535277,0.67,0.377205197,0.142283761,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,26,55,2.12,NA,0.818535277,0.67,0.386101546,0.149074404,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,26,49,1.88,NA,0.818535277,0.67,0.435391105,0.189565414,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,22,36,1.64,NA,0.818535277,0.67,0.499106876,0.249107674,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,21,32,1.52,NA,0.818535277,0.67,0.538510051,0.289993075,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,8,12,1.5,NA,0.818535277,0.67,0.545690185,0.297777778,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,8,11,1.38,NA,0.818535277,0.67,0.593141505,0.351816845,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,6,8,1.33,NA,0.818535277,0.67,0.615440058,0.378766465,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
eastern grey kangaroo,Macropus giganteus,Polygynous,0,0,10,12,1.2,NA,0.818535277,0.67,0.682112731,0.465277778,M,0,males,genotyped offspring with parentage,NA,"Rioux-Paquette, Elise, Dany Garant, Alexandre M. Martin, Graeme Coulson, and Marco Festa-Bianchet. ""Paternity in eastern grey kangaroos: moderate skew despite strong sexual dimorphism.""_Behavioral Ecology_26, no. 4 (2015): 1147-1155.",RS_eastern grey kangaroos_Supplemental Data.docx
grey red-backed vole,Myodes rufocanus,Polygynous,0,0,23,918,39.91304348,0.027,NA,NA,NA,NA,M,0,NA,NA,NA,"Ishibashi, Y., & Saitoh, T. (2008). Effect of local density of males on the occurrence of multimale mating in gray-sided voles (Myodes rufocanus). Journal of Mammalogy, 89(2), 388-397.",NA
