Population,Researcher,Location,MatingSystem,Monogamous,Human,NonHumanPrimate,File,Common,Species,Source or Reference
Chimpanzee[1],Gagneux,Tai,Polygynandrous,0,0,1,Gagneux1999-TaiChimpanzee-Female.csv,common chimpanzee,Pan troglodytes,"Gagneux, Pascal, Christophe Boesch, and David S. Woodruff. ""Female reproductive strategies, paternity and community structure in wild West African chimpanzees.""_Animal Behaviour_57, no. 1 (1999): 19-32."
BlackRhinoceros,Garnier,NA,Polygynous,0,0,0,Garnier2001-BlackRhinoceros-Female.csv,black rhinoceros,Diceros bicornis,"Garnier, Julie N., Michael William Bruford, and Benoit Goossens. ""Mating system and reproductive skew in the black rhinoceros.""_Molecular Ecology10, no. 8 (2001): 2031-2041."
SpottedHyena,Holekamp,NA,Polygynandrous,0,0,0,HolekampTable2-SpottedHyena-Female.csv,spotted hyena,Crocuta crocuta,"Holekamp, K. E., Smith, J. E., Strelioff, C. C., Van Horn, R. C., & Watts, H. E. (2012). Society, demography and genetic structure in the spotted hyena. Molecular ecology, 21(3), 613-632."
Chimpanzee[2],Inoue,Mahale,Polygynandrous,0,0,1,Inoue2008-MahaleChimpanzee-Female.csv,common chimpanzee,Pan troglodytes,Inoue et al. 2008
BlackBear,Kovach,NA,Polygynous,0,0,0,Kovach2003-BlackBear-Female.csv,black bear,Ursus americanus,"Kovach, Adrienne I., and Roger A. Powell. ""Effects of body size on male mating tactics and paternity in black bears, Ursus americanus.""_Canadian Journal of Zoology_81, no. 7 (2003): 1257-1268."
WhiteFacedCapuchin,Perry,NA,Polygynandrous,0,0,1,Perry-WhiteFacedCapuchin-Female.csv,white-faced capuchin,Cebus capucinus,Perry
Chimpanzee[3],Pusey,Gombe,Polygynandrous,0,0,1,PuseyOct2014-GombeChimpanzee-Female.csv,common chimpanzee,Pan troglodytes,Pusey
Bonobo[2],Surbek,LuiKotale,Polygynandrous,0,0,1,Surbek-LuiKotaleBonobo-Female.csv,bonobo,Pan paniscus,Surbeck
Bonobo[1],Gerloff,Lomako,Polygynandrous,0,0,1,Gerloff1999-LomakoBonobo-Male.csv,bonobo,Pan paniscus,"Gerloff, Ulrike, Bianka Hartung, Barbara Fruth, Gottfried Hohmann, and Diethard Tautz. ""Intracommunity relationships, dispersal pattern and paternity success in a wild living community of Bonobos (Pan paniscus) determined from DNA analysis of faecal samples.""_Proceedings of the Royal Society of London B: Biological Sciences_266, no. 1424 (1999): 1189-1195."
FurSeal,Hoffman,Antarctic,Polygynous,0,0,0,Hoffman2003-AntarcticFurSeal-Male.csv,antarctic fur seal,Arctocephalus gazella,"Hoffman, Joseph I., Ian L. Boyd, and William Amos. ""Male reproductive strategy and the importance of maternal status in the Antarctic fur seal Arctocephalus gazella.""_Evolution_57, no. 8 (2003): 1917-1930."
